Pond,Date,Water_level_m,Year
90,15-Sep,1,1993
90,14-Oct,1.03,1993
4857,20-May,No bar,1993
4857,27-May,No bar,1993
4857,09-Jun,No bar,1993
4857,23-Jun,No bar,1993
4857,08-Jul,No bar,1993
4857,22-Jul,No bar,1993
4857,04-Aug,No bar,1993
4857,18-Aug,No bar,1993
4857,27-Aug,No bar,1993
4857,15-Sep,No bar,1993
4857,14-Oct,No bar,1993
Gursky's,20-May,No bar,1993
Gursky's,27-May,No bar,1993
Gursky's,09-Jun,No bar,1993
Gursky's,25-Jun,No bar,1993
Gursky's,08-Jul,No bar,1993
Gursky's,21-Jul,No bar,1993
Gursky's,04-Aug,No bar,1993
Gursky's,19-Aug,No bar,1993
Gursky's,27-Aug,No bar,1993
Gursky's,15-Sep,No bar,1993
Gursky's,14-Oct,No bar,1993
1A,10-May,No Bar,1994
1A,24-May,No Bar,1994
1A,07-Jun,No Bar,1994
1A,21-Jun,No Bar,1994
1A,05-Jul,No Bar,1994
1A,19-Jul,No Bar,1994
1A,09-Aug,No Bar,1994
1A,23-Aug,No Bar,1994
1A,13-Sep,No Bar,1994
1A,12-Oct,No Bar,1994
1B,10-May,0.34,1994
1B,24-May,0.255,1994
1B,07-Jun,0.19,1994
1B,21-Jun,0.156,1994
1B,05-Jul,0.197,1994
1B,19-Jul,0.2,1994
1B,09-Aug,0.249,1994
1B,23-Aug,0.288,1994
1B,13-Sep,0.345,1994
1B,12-Oct,0.41,1994
25,10-May,0.64,1994
25,24-May,0.58,1994
25,07-Jun,0.55,1994
25,21-Jun,0.56,1994
25,05-Jul,0.603,1994
25,19-Jul,Stake snapped,1994
25,09-Aug,0.273,1994
25,23-Aug,0.312,1994
25,13-Sep,0.362,1994
25,11-Oct,0.446,1994
37,11-May,0.99,1994
37,24-May,0.938,1994
37,08-Jun,0.94,1994
37,22-Jun,0.963,1994
37,06-Jul,1.027,1994
37,19-Jul,1.03,1994
37,09-Aug,1.164,1994
37,23-Aug,1.235,1994
37,14-Sep,1.31,1994
37,11-Oct,1.31,1994
50,11-May,0.59,1994
50,24-May,0.519,1994
50,07-Jun,0.508,1994
50,21-Jun,0.501,1994
50,05-Jul,0.545,1994
50,19-Jul,0.53,1994
50,09-Aug,0.603,1994
50,23-Aug,0.63,1994
50,13-Sep,0.677,1994
50,11-Oct,0.735,1994
60,11-May,0.78,1994
60,24-May,0.728,1994
60,08-Jun,0.738,1994
60,22-Jun,0.766,1994
60,06-Jul,0.834,1994
60,19-Jul,0.87,1994
60,10-Aug,1.005,1994
60,23-Aug,1.095,1994
60,11-Oct,1.316,1994
65,11-May,0.32,1994
65,25-May,0.28,1994
65,08-Jun,0.261,1994
65,22-Jun,0.375,1994
65,06-Jul,0.306,1994
65,20-Jul,0.31,1994
65,10-Aug,0.373,1994
65,24-Aug,0.411,1994
65,14-Sep,0.467,1994
65,12-Oct,0.55,1994
66,11-May,1.12,1994
66,25-May,1.055,1994
66,08-Jun,1.016,1994
66,22-Jun,1.01,1994
66,06-Jul,1.044,1994
66,20-Jul,1.02,1994
66,10-Aug,1.075,1994
66,24-Aug,1.102,1994
66,14-Sep,1.138,1994
66,12-Oct,PEIV,1994
67,11-May,0.14,1994
67,25-May,0.235,1994
67,08-Jun,0.208,1994
67,22-Jun,0.24,1994
67,06-Jul,0.233,1994
67,20-Jul,0.22,1994
67,10-Aug,0.276,1994
67,24-Aug,0.309,1994
67,14-Sep,0.354,1994
67,12-Oct,0.42,1994
86,11-May,0.41,1994
86,25-May,0.369,1994
86,08-Jun,0.356,1994
86,22-Jun,0.38,1994
86,06-Jul,0.45,1994
86,20-Jul,0.49,1994
86,10-Aug,0.61,1994
86,24-Aug,0.7,1994
86,14-Sep,0.832,1994
86,12-Oct,1.05,1994
90,11-May,0.96,1994
90,25-May,0.898,1994
90,08-Jun,0.851,1994
90,22-Jun,0.869,1994
90,06-Jul,0.884,1994
90,20-Jul,0.89,1994
90,10-Aug,0.945,1994
90,24-Aug,0.981,1994
90,14-Sep,1.01,1994
90,12-Oct,1.04,1994
109,11-May,0.54,1994
109,25-May,0.5,1994
109,09-Jun,0.483,1994
109,22-Jun,0.509,1994
109,06-Jul,0.575,1994
109,20-Jul,0.59,1994
109,09-Aug,0.725,1994
109,24-Aug,0.862,1994
109,14-Sep,1.019,1994
109,11-Oct,1.22,1994
4857,11-May,0.52,1994
4857,25-May,0.47,1994
4857,08-Jun,0.46,1994
4857,21-Jun,0.466,1994
4857,05-Jul,0.49,1994
4857,19-Jul,0.48,1994
4857,09-Aug,0.42,1994
4857,23-Aug,0.48,1994
4857,13-Sep,0.69,1994
4857,11-Oct,0.71,1994
6642,25-May,No bar,1994
6642,08-Jun,No bar,1994
6642,22-Jun,No bar,1994
6642,06-Jul,No bar,1994
6642,20-Jul,No bar,1994
6642,10-Aug,No bar,1994
6642,24-Aug,No bar,1994
6642,14-Sep,No bar,1994
6642,11-Oct,No bar,1994
Gursky's,11-May,No bar,1994
Gursky's,25-May,No bar,1994
Gursky's,08-Jun,No bar,1994
Gursky's,21-Jun,No bar,1994
Gursky's,06-Jul,No bar,1994
Gursky's,20-Jul,No bar,1994
Gursky's,09-Aug,No bar,1994
Gursky's,24-Aug,No bar,1994
Gursky's,14-Sep,No bar,1994
Gursky's,11-Oct,No bar,1994
1A,20-Jun,No Bar,1995
1A,12-Jul,No Bar,1995
1A,25-Jul,No Bar,1995
1A,14-Aug,No Bar,1995
1A,28-Aug,No Bar,1995
1A,12-Sep,No Bar,1995
1A,17-Oct,No Bar,1995
1B,30-May,0.202,1995
1B,20-Jun,0.285,1995
1B,12-Jul,0.335,1995
1B,25-Jul,0.365,1995
1B,14-Aug,0.35,1995
1B,28-Aug,0.34,1995
1B,12-Sep,0.43,1995
1B,17-Oct,0.46,1995
25,30-May,0.34,1995
25,20-Jun,0.42,1995
25,12-Jul,0.46,1995
25,25-Jul,0.47,1995
25,14-Aug,0.455,1995
25,28-Aug,0.502,1995
25,12-Sep,0.54,1995
25,17-Oct,0.58,1995
37,31-May,1.08,1995
37,20-Jun,1.26,1995
50,30-May,0.784,1995
50,20-Jun,0.85,1995
50,12-Jul,0.9,1995
50,25-Jul,0.93,1995
50,14-Aug,0.86,1995
50,28-Aug,Not Sampled,1995
