"","Pond","Site","Analyzing_date","Date","THg_ug.kg"
"118","25","0",2023-08-10,2021-05-19,33.0035
"119","25","-2",2023-08-10,2021-05-19,21.6
"120","25","-4",2023-08-10,2021-05-19,28.2749
"121","25","Off",2023-08-10,2021-09-01,57.1289
"122","25","0",2023-08-10,2021-09-01,82.6595
"123","25","-2",2023-08-10,2021-09-01,32.4443
"124","25","-4",2023-08-10,2021-09-01,18.0162
"125","15","Off",2023-08-10,2021-09-01,29.2855
"126","15","0",2023-08-10,2021-09-01,39.0979
"127","15","-2",2023-08-10,2021-09-01,47.384
"128","15","-4",2023-08-10,2021-09-01,25.0219
"129","15","Off",2023-08-11,2021-09-19,36.0032
"130","15","0",2023-08-11,2021-09-19,33.7404
"131","15","-2",2023-08-11,2021-09-19,55.7854
"132","15","-4",2023-08-11,2021-09-19,44.3867
"133","125","Off",2023-08-11,2021-09-19,51.3029333333333
"134","125","0",2023-08-11,2021-09-19,31.1488
"135","125","-2",2023-08-11,2021-09-19,32.6386
"136","125","-4",2023-08-11,2021-09-19,48.2682
"137","25","Off",2023-08-11,2021-09-19,56.0837333333333
"138","25","0",2023-08-11,2021-09-19,53.0817
"139","25","-2",2023-08-11,2021-09-19,27.5797
"140","25","-4",2023-08-11,2021-09-19,25.3195
"141","109","0",2023-08-11,2021-09-19,71.9497333333333
"142","124","0",2023-08-17,2021-09-19,54.9027333333333
"143","97/98","0",2023-08-17,2021-09-19,81.9854666666667
"144","35","0",2023-08-17,2021-09-19,47.0332
"145","35","0",2023-08-17,2021-09-01,53.4666666666667
"146","109","0",2023-08-17,2021-09-01,84.9469
"147","124","0",2023-08-17,2021-09-01,63.0270666666667
"148","97/98","Off",2023-08-18,2021-09-01,79.6596666666667
"149","97/98","0",2023-08-18,2021-09-01,37.9723
"150","97/98","-2",2023-08-18,2021-09-01,59.0074
"151","97/98","-4",2023-08-18,2021-09-01,58.8738
"152","125","Off",2023-08-18,2021-09-01,49.9542
"153","125","0",2023-08-18,2021-09-01,39.2447
"154","125","-2",2023-08-18,2021-09-01,21.8591
"155","125","-4",2023-08-18,2021-09-01,34.0204
