"","Sample","Pond","Date","Month","Year","Julianday","Time","TDS_mg.L","Cond_uS.cm","TOC_mg.L","DOC_mg.L","HCO3_mg.L","CO3_mg.L","FreeCO2_mg.L","POC_mg.L","NO3NO2_mg.L","NH3_tot_mg.L","NH3_union_mg.L","TN_mg.L","DN_mg.L","PN_mg.L","OH_mg.L","F_diss_mg.L","Alk_tot_mg.L","Alk_p_mg.L","pH","Hard_tot_mg.L","Hard_nonCO3_mg.L","Na_diss_mg.L","Na_perc","Mg_diss_mg.L","SiO2_mg.L","P_diss_ortho_mg.L","P_tot_mg.L","P_diss_mg.L","P_part_mg.L","SO4_diss_mg.L","Cl_diss_mg.L","K_diss_mg.L","Ca_diss_mg.L","PCPN","PCPP","PNPP","Chla_mg.L"
"206","941339","66",1994-09-14,"September",1994,257,"09:45",NA,NA,166.8,123,705.8,0,7.3,43.8,0.002,0.095,0,7.32,1.41,5.91,0,0,579,0,8.18,19658.5,19079.5,5320,36.5,4630,5.71,0.021,0.689,0.209,0.48,29200,425,351,239,8.6,235.3,27.2,86.68
"207","941616","66",1994-10-12,"October",1994,285,"10:50",3217,NA,38.92,38.5,805.8,0,7.95,0.419,0,0.112,0,1.86,1.8,0.063,0,0.08,661,0,8.2,1921.1,1260.1,324,26.2,389,5.66,0.008,0.05,0.043,0.007,1856,63.3,54.4,128,7.8,154.4,19.9,130.86
"208","940216","67",1994-05-10,"May",1994,130,"14:37",2566,4256,31.92,31.7,496.1,0,11.59,0.219,0,0.053,0,1.56,1.52,0.043,0,0.08,407,0,7.83,1633.1,1226.1,212,21.6,316,9.07,0.003,0.037,0.028,0.009,1574,41.8,36.2,133,5.9,62.8,10.6,1.73
"209","940281","67",1994-05-25,"May",1994,144,"09:45",2723,NA,36,35.3,485.4,0,7.29,0.698,0,0.113,0,1.79,1.66,0.126,0,0.08,398.2,0,NA,1677.6,1279.4,240,23.2,325,0.34,0.008,0.061,0.033,0.028,1702,41.7,38.9,136,6.5,64.3,10,4.81
"210","940420","67",1994-06-08,"June",1994,157,"13:05",NA,NA,40.07,39.6,555.7,0,17.55,0.467,0,0.048,0,1.9,1.82,0.075,0,0.07,455.9,0,NA,1902.7,1446.8,263,22.6,373,0.6,0.003,0.051,0.046,0.005,1860,74.2,41.8,147,7.3,240.9,33.2,4.97
"211","940615","67",1994-06-22,"June",1994,173,"13:15",3176,3791,51.18,49.4,594.8,0,8.53,1.78,0,0.032,0,2.41,2.2,0.212,0,0.07,487.9,0,NA,1983.4,1495.5,278,22.9,392,0.48,0.006,0.063,0.04,0.023,1900,121,43.5,148,9.8,199.6,20.4,8.57
"212","940695","67",1994-07-06,"July",1994,157,"11:40",3328,NA,47.17,45.6,654.6,0,14.26,1.57,0,0.028,0,2.55,2.35,0.2,0,0.08,537,0,7.86,2105.3,1568.3,305,23.5,421,1.99,0.013,0.069,0.049,0.02,2020,61.5,46.9,149,9.2,202.4,22.1,10.54
"213","940835","67",1994-07-20,"July",1994,201,"09:05",3413,NA,56.75,55.8,615.5,0,17.71,0.946,0,0.07,0,2.39,2.25,0.142,0,0.07,504.9,0,7.74,2118.4,1613.5,309,23.6,426,6.04,0.004,0.086,0.059,0.027,2110,63.7,48.8,146,7.8,90.4,11.6,33.5
"214","941110","67",1994-08-10,"August",1994,222,"10:55",NA,28515,155.1,127,19.7,105.48,0.3,28.1,0,0.308,0.03,6.72,3.04,3.68,0,0,192,87.9,NA,15430.3,15238.3,4330,37.3,3640,1,0.015,0.646,0.182,0.464,22810,924,325,178,8.9,156.2,17.5,18.31
"215","941233","67",1994-08-24,"August",1994,236,"09:50",4233,4767,75.11,73.4,782.6,0,25.29,1.71,0,0.242,0,2.1,1.823,0.28,0,0.11,642,0,7.69,2600.6,1958.6,381,23.6,531,18.7,0.009,0.084,0.063,0.021,2614,68.2,69,166,7.1,210,29.5,9.84
"216","941337","67",1994-09-14,"September",1994,257,"09:00",4778,NA,62.23,59.6,830.1,0,16.87,2.63,0.003,0.61,0,3.05,2.67,0.384,0,0.08,681,0,7.89,2869.4,2188.4,423,23.8,589,8.31,0.011,0.108,0.061,0.047,3030,72.8,67.8,178,8,144.3,18.1,40.51
"217","941615","67",1994-10-12,"October",1994,285,"10:05",5254,5973,77.05,75,913,0,15.05,2.05,0,2.29,0.02,4.44,4.2,0.242,0,0.07,749,0,7.98,3162.1,2413.1,474,24.1,651,4.55,0.059,0.153,0.106,0.047,3318,89.9,74.4,193,9.9,112.5,11.4,23.66
"218","940223","86",1994-05-11,"May",1994,131,"12:30",197,318,17.55,17.2,181.6,0,10.22,0.346,0,0.006,0,0.97,0.93,0.038,0,0.07,149,0,7.45,145.1,0,1.26,1.6,12.2,20.74,0.372,0.449,0.419,0.03,7.9,5.14,21.8,38,10.6,29.7,2.8,2.86
"219","940283","86",1994-05-25,"May",1994,145,"10:30",NA,343,17.65,17.2,197.5,0,7,0.445,0,0.197,0,1.09,1.01,0.081,0,0.07,162,0,7.65,164.1,2.1,1.31,1.5,14.8,19.21,0.224,0.314,0.285,0.029,8.7,5.11,21.8,41.3,6.4,39.6,6.2,2.19
"220","940421","86",1994-06-08,"June",1994,159,"13:35",218,NA,21.29,20,223.1,0,10.44,1.29,0,0.048,0,1.36,1.18,0.176,0,0.08,183,0,NA,172.7,0,1.55,1.6,16.6,15.21,0.207,0.354,0.298,0.056,4.5,5.46,22.6,41.8,8.5,59.4,6.9,7.82
"221","940613","86",1994-06-22,"June",1994,173,"11:53",233,399,24.33,20.5,241,0,14.54,3.83,0,0.091,0,2.05,1.51,0.541,0,0.06,197.7,0,7.42,186.9,0,1.62,1.6,20.9,6.9,0.083,0.318,0.173,0.145,14.7,5.42,24.6,40.4,8.3,68.1,8.3,21.06
"222","940694","86",1994-07-06,"July",1994,187,"11:10",246,448,23.19,20.3,277.1,0,29.08,2.89,0,0.082,0,1.97,1.58,0.386,0,0.07,227.3,0,7.18,208,0,1.62,1.4,21.9,3.55,0.011,0.434,0.259,0.175,2.6,5.12,27.5,47.2,8.7,42.6,4.9,17.58
"223","940840","86",1994-07-20,"July",1994,201,"11:10",241,451,22.31,20.4,275.7,0,20.95,1.91,0,0.037,0,1.94,1.67,0.271,0,0.07,226.2,0,7.32,195.8,0,1.46,1.4,20.7,3.94,0.117,0.417,0.228,0.189,1.8,4.83,28.1,44.3,8.2,26.1,3.2,20.1
"224","941109","86",1994-08-10,"August",1994,222,"10:30",3863,4588,74.62,73.5,691.9,0,20.38,1.12,0,0.093,0,3.09,2.93,0.164,0,0.07,567.6,0,7.73,2367.3,1799.7,350,23.8,481,15.5,0.01,0.111,0.061,0.05,2402,63.1,55.9,155,8,57.8,7.3,65.63
"225","941239","86",1994-08-24,"August",1994,236,"11:57",263,488,32.28,24,293.8,0,51.21,8.28,0,0.038,0,3.12,1.827,1.29,0,0.02,241,0,6.96,215.1,0,2.3,1.9,24.4,3.72,0.172,1.02,0.281,0.739,3,6.13,32.7,45.9,7.5,28.9,3.9,9.38
"226","941343","86",1994-09-14,"September",1994,257,"11:30",267,513,55.5,23.6,296.2,0,62.09,31.9,0,0.057,0,6.36,1.79,4.57,0,0.08,243,0,6.88,217.2,0,2.48,2,24.8,2.36,0.121,0.931,0.2,0.731,3.7,6.86,34.5,46.1,8.1,112.5,13.8,910.8
"227","941619","86",1994-10-12,"October",1994,285,"11:45",292,541,31.12,25.7,330.3,0,10.92,5.42,0,0.382,0,2.5,1.76,0.743,0,0.05,271,0,7.68,237.4,0,3.03,2.3,26.6,0.46,0.071,0.469,0.135,0.334,4.8,9.49,33.4,51.2,8.5,41.8,4.9,48.76
"228","940224","90",1994-05-11,"May",1994,131,"13:00",9187,16752,69.17,68.8,768,0,18.36,0.37,0,0.058,0,2.83,2.77,0.057,0,0.07,630,0,7.82,5187.8,4557.8,875,26,1140,0.13,0.007,0.09,0.072,0.018,6169,239,188,198,7.6,53,7,2.05
"229","940284","90",1994-05-25,"May",1994,145,"10:50",9345,NA,67.26,67,678.7,0,17.81,0.262,0,0.091,0,2.8,2.75,0.047,0,0.05,556.8,0,NA,5439.8,4883,846,24.6,1200,0.34,0.011,0.075,0.064,0.011,6382,222,160,200,6.5,61.4,9.4,1.46
"230","940422","90",1994-06-08,"June",1994,159,"14:00",9367,NA,70.37,69.2,729,0,20.98,1.17,0,0.071,0,2.95,2.81,0.143,0,0.06,598,0,NA,5396.1,4798.1,857,24.9,1190,0.22,0.009,0.088,0.062,0.026,6379,214,169,199,9.5,116,12.2,8.14
"231","940612","90",1994-06-22,"June",1994,173,"11:20",11155,NA,75.09,71,816.9,0,16.99,4.09,0,0.113,0,3.46,2.94,0.522,0,0.04,670.1,0,7.88,6188.4,5518.3,1060,26.3,1360,0.2,0.004,0.106,0.056,0.05,7368,521,208,236,9.1,210.9,23.1,13.45
"232","940693","90",1994-07-06,"July",1994,187,"10:40",11499,11273,99.22,97,877.1,0,13.48,2.22,0,0.223,0,3.38,3.03,0.346,0,0.04,719.5,0,NA,6733.6,6014.1,1070,25,1490,0.25,0.006,0.094,0.066,0.028,7830,243,194,240,7.5,204.5,27.3,8.34
"233","940839","90",1994-07-20,"July",1994,201,"10:45",11745,11653,98.99,91.5,902.1,0,20.12,7.49,0,0.151,0,3.69,2.72,0.965,0,0.03,740,0,7.85,6868.3,6128.3,1100,25.2,1530,1.04,0.008,0.273,0.061,0.212,7988,257,197,228,9.1,91.1,10.1,30.19
"234","941108","90",1994-08-10,"August",1994,222,"10:15",251,475,26.8,23.4,284,0,23.13,3.4,0,0.031,0,2.25,1.77,0.478,0,0.08,233,0,7.29,210,0,1.85,1.6,23.4,3.24,0.157,0.548,0.279,0.269,1.1,5.39,30.4,45.5,8.3,32.6,3.9,108.5
"235","941238","90",1994-08-24,"August",1994,236,"11:25",15752,13794,150.1,138,909.4,0,23.86,12.1,0,0.105,0,5.78,3.95,1.83,0,0,746,0,7.78,8762.2,8016.2,1520,26.4,1990,0.81,0.012,0.287,0.067,0.22,10900,320,345,228,7.7,141.8,18.4,127.07
"236","941344","90",1994-09-14,"September",1994,257,"12:20",17778,15358,129.4,108,1070.3,0,22.26,21.4,0.002,0.075,0,5.39,2.37,3.02,0,0,878,0,7.88,9739,8861,1660,25.9,2220,0.79,0.047,0.943,0.095,0.848,12300,341,489,240,8.3,65.1,7.9,2411.5
"237","941618","90",1994-10-12,"October",1994,285,"11:25",NA,18454,154.86,152,1418.9,0,17.28,2.86,0,0.313,0,2.71,2.35,0.359,0,0,1164,0,8.11,12259.2,11095.2,2110,26.5,2800,0.33,0.017,0.146,0.065,0.081,14341,451,386,293,9.3,91.1,9.8,49.08
"238","940222","109",1994-05-11,"May",1994,131,"12:05",194,NA,27.16,22.2,163.3,0,18.37,4.96,0,0.023,0,1.86,1.37,0.488,0,0.06,134,0,7.15,127.2,0,0.98,1.3,11.3,26.8,1.12,1.35,1.24,0.11,6.2,5.96,30.4,32.3,11.9,116.3,9.8,9.03
"239","940282","109",1994-05-25,"May",1994,145,"10:00",212,324,23.26,22.6,180.4,0,11.66,0.657,0,0.081,0,1.55,1.45,0.097,0,0.06,148,0,7.39,145.2,0,0.98,1.1,13.5,30,1.089,1.21,1.174,0.036,6.2,5.9,30.2,35.9,7.9,47.1,6,2.93
"240","940442","109",1994-06-09,"June",1994,160,"12:00",231,358,25.3,23.1,206,0,27.23,2.2,0,0.098,0,1.93,1.66,0.271,0,0.05,169,0,NA,167.8,0,0.99,1,15.4,31.6,1.14,1.46,1.26,0.2,4.6,5.04,30.1,41.8,9.5,28.4,3,7.71
"241","940614","109",1994-06-22,"June",1994,173,"12:30",237,378,25.45,24,218.2,0,20.89,1.45,0,0.036,0,1.85,1.64,0.208,0,0.05,179,0,7.22,156.8,0,0.83,0.9,14.2,34.5,1.039,1.2,1.15,0.05,4.8,4.92,31.3,39.4,8.1,74.8,9.2,8.28
"242","940691","109",1994-07-06,"July",1994,187,"09:50",251,NA,26.51,24.5,229.2,0,25.78,2.01,0,0.086,0,1.85,1.59,0.258,0,0.06,188,0,7.15,168.2,0,0.86,0.9,15.2,37.3,0.734,1.37,1.3,0.07,4.2,5.28,33.3,42.3,9.1,74,8.2,15.31
"243","940841","109",1994-07-20,"July",1994,201,"11:40",236,394,28.61,21.6,221.9,0,24.39,7.01,0,0.023,0,2.37,1.55,0.816,0,0.05,182,0,7.16,158.5,0,0.85,0.9,14.6,31.7,0.85,1.222,1.046,0.176,2.7,4.64,33,39.4,10,102.7,10.3,38.61
"244","941091","109",1994-08-09,"August",1994,221,"15:15",767,NA,32.3,26,649.7,0,29.71,6.3,0.074,1.64,0,4.78,4.1,0.681,0,0.1,533,0,7.54,634,101,27.5,8.2,107,27.5,0.896,1.1,0.999,0.101,164,11.4,31.7,77.5,10.8,160.9,14.9,11.95
"245","941236","109",1994-08-24,"August",1994,236,"10:45",266,414,26.28,24.7,242.6,0,39.46,1.58,0,0.098,0,1.29,1.092,0.198,0,0.07,199,0,6.99,169.7,0,1.27,1.2,16.3,38.4,1.238,1.68,1.44,0.24,5.5,5.35,38.1,41.1,9.3,17,1.8,10.34
"246","941341","109",1994-09-14,"September",1994,257,"11:00",256,432,33,22.5,234,0,46.85,10.5,0,0.219,0,3.62,1.67,1.95,0,0.06,192,0,6.9,168.8,0,1.29,1.3,15.9,34.9,0.643,1.35,0.745,0.605,4.9,5.09,37.7,41.4,6.3,44.8,7.1,351.5
"247","940212","4857",1994-05-10,"May",1994,130,"12:33",458,745,27.14,17.5,358.4,0,12.7,9.64,0,0.033,0,2.11,1.14,0.97,0,0.11,294,0,7.65,352.8,58.8,15.5,8,50.4,2.26,0.082,0.241,0.122,0.119,115,12.2,27.5,58.2,11.6,208.9,18,8.49
"248","940272","4857",1994-05-24,"May",1994,144,"14:00",467,778,18.67,18.5,351.1,0,4.18,0.173,0,0.01,0,1.27,1.24,0.028,0,0.11,288,0,8.12,370.9,82.9,17.3,8.5,54.8,1.07,0.125,0.181,0.175,0.006,122,12.6,27.7,58.2,7.2,74.4,10.3,4.43
"249","940411","4857",1994-06-07,"June",1994,158,"15:05",525,NA,21.53,21.3,379.1,0,6.11,0.226,0,0.035,0,1.38,1.36,0.023,0,0.12,311,0,NA,403.6,92.6,19.5,8.8,62,1.43,0.096,0.15,0.139,0.011,155,12.7,28.1,59.4,11.5,53,4.6,1.31
"250","940606","4857",1994-06-21,"June",1994,172,"13:20",497,791,24.2,22.3,321,12.48,1.53,1.9,0,0.027,0,1.92,1.67,0.253,0,0.09,284.1,10.4,8.54,384.9,100.8,20.7,9.6,63.9,0.44,0.012,0.087,0.057,0.03,150,13.3,29.4,48.8,8.8,163.3,18.6,6.21
"251","940685","4857",1994-07-05,"July",1994,186,"14:45",497,789,25.57,24.2,302.3,14.4,1.46,1.37,0.015,0.078,0,2.79,2.64,0.154,0,0.09,272,12,8.54,378.3,106.3,21.2,10,65.5,2.97,0.069,0.171,0.156,0.015,157,13.3,30.2,43.5,10.4,235.5,22.7,2.11
"252","940828","4857",1994-07-19,"July",1994,200,"13:50",NA,773,24.51,23.7,274.8,29.28,0.65,0.811,0,0.069,0,1.99,1.89,0.097,0,0.09,274.2,24.4,8.88,1016.4,742.2,46.2,8.5,165,9.62,0.108,0.202,0.177,0.025,834,18.9,56.6,135,9.8,83.7,8.6,12.41
"253","941084","4857",1994-08-09,"August",1994,221,"12:30",495,NA,27.61,25.4,276.3,35.28,0.59,2.21,0,0.055,0,2.44,2.19,0.254,0,0.1,285.5,29.4,8.93,371.5,86,23.2,10.9,66.4,4.19,0.137,0.239,0.21,0.029,142,14.7,33.5,39.3,10.1,196.5,19.4,4.16
"254","941213","4857",1994-08-23,"August",1994,235,"13:10",535,NA,28.04,27.3,272.1,46.08,0.43,0.743,0,0.061,0.01,1.54,1.442,0.094,0,0.14,300,38.4,NA,397.4,97.4,26,11.3,69.3,0.59,0.12,0.221,0.2,0.021,161,16.1,36.9,44.9,9.2,91.2,9.9,2.17
"255","941332","4857",1994-09-13,"September",1994,256,"14:30",565,915,30.53,27.5,387.6,0,6.69,3.03,0.002,0.069,0,2.43,2.05,0.378,0,0.01,318,0,7.96,426,108,25.9,10.6,73.4,1.08,0.213,0.268,0.241,0.027,166,18.4,40.3,49.6,9.3,289.4,31,156.43
"256","941608","4857",1994-10-11,"October",1994,284,"13:15",614,NA,30.7,29,434,0,4.08,1.7,0,0.077,0,2.29,2.1,0.19,0,0.07,356,0,8.22,459.8,103.8,28.1,10.6,77,0.69,0.079,0.149,0.129,0.02,174,20.4,42.6,57.2,10.4,219.2,21,8.33
"257","940285","6642",1994-05-25,"May",1994,145,"11:10",676,NA,30.2,29,442.5,0,12.44,1.2,0,0.113,0,1.96,1.8,0.157,0,0.13,363,0,NA,554.1,191.1,20.1,7,80.9,14.9,0.202,0.295,0.261,0.034,222,9.09,22.8,88.5,8.9,91,10.2,3.14
"258","940423","6642",1994-06-08,"June",1994,159,"14:25",NA,NA,33.62,33.2,441.3,0,15.64,0.416,0,0.06,0,1.86,1.8,0.058,0,0.12,362,0,NA,569.5,207.5,21.1,7.1,87.8,13.9,0.202,0.288,0.278,0.01,236,8.45,22.3,83.3,8.4,107.3,12.8,2.53
"259","940611","6642",1994-06-22,"June",1994,173,"11:00",NA,NA,35.34,33.8,468.3,0,22.43,1.54,0,0.089,0,3.19,3.02,0.168,0,0.11,384.2,0,7.52,582.4,198.2,22.8,7.5,90.7,14.2,0.231,0.351,0.328,0.023,232,8.72,22.5,83.7,10.7,172.7,16.2,4.26
"260","940692","6642",1994-07-06,"July",1994,187,"10:20",753,1157,41.14,38.7,541.1,0,27.14,2.44,0,0.307,0,2.7,2.32,0.383,0,0.11,443.9,0,7.5,617.3,173.4,24.5,7.6,98.5,19.5,0.39,0.673,0.559,0.114,223,10.1,25.9,84.8,7.4,55.2,7.4,53.38
"261","940838","6642",1994-07-20,"July",1994,201,"10:20",714,1176,39.12,37.7,566.8,0,25.32,1.42,0,0.073,0,2.73,2.51,0.215,0,0.11,465,0,7.55,597.4,132.4,24.9,7.9,98.1,22.3,0.381,0.586,0.51,0.076,176,10.1,26.3,77.5,7.7,48.2,6.3,45.37
"262","941107","6642",1994-08-10,"August",1994,222,"09:50",13124,12689,126.73,122,884.9,0,19.73,4.73,0,0.146,0,4.06,3.35,0.708,0,0.02,725.9,0,7.85,7624.3,6898.4,1240,25.4,1730,1.15,0.01,0.302,0.061,0.241,8999,287,230,201,7.8,50.6,6.5,21.73
"263","941237","6642",1994-08-24,"August",1994,236,"11:10",778,1213,56.63,53.8,664.4,0,33.32,2.83,0,0.136,0,2.06,1.715,0.346,0,0.1,545,0,7.5,653,108,30.3,8.7,113,24.6,0.299,0.472,0.406,0.066,164,12.2,31.7,75.2,9.5,110.6,11.6,10.39
"264","941342","6642",1994-09-14,"September",1994,257,"12:00",NA,NA,51.6,44,694.8,0,26.4,7.6,0.003,0.094,0,3.12,2.28,0.835,0,0.11,570,0,7.62,665.3,95.3,31.5,8.8,116,20.3,0.232,0.371,0.281,0.09,179,13,32.5,75.2,10.6,217.8,20.5,88.27
"265","941611","6642",1994-10-11,"October",1994,284,"15:30",886,1413,47.35,46.4,771.6,0,9.18,0.948,0.016,0.187,0,2.55,2.43,0.118,0,0.12,633,0,8.12,740.1,107.1,36,9.1,125,15.4,0.221,0.305,0.285,0.02,191,15.2,33.2,90.3,9.4,122.2,13,7.51
"266","940225","Gursky's",1994-05-11,"May",1994,131,"13:45",487,818,32.93,26.4,430.3,0,15.25,6.53,0,0.009,0,2.86,1.83,1.03,0,0.18,353,0,7.65,378.7,25.7,13.8,6.4,63,7.51,0.215,0.488,0.293,0.195,83.5,11.3,48.3,47.8,7.4,86.4,11.7,14.97
"267","940286","Gursky's",1994-05-25,"May",1994,145,"11:30",511,NA,31.22,24,436.4,0,27.57,7.22,0,0.006,0,2.82,1.78,1.04,0,0.19,358,0,NA,390.6,32.6,13.9,6.3,64.5,16.2,0.247,0.514,0.32,0.194,91.6,12.1,47.5,50.1,8.1,96,11.9,51.12
"268","940605","Gursky's",1994-06-21,"June",1994,172,"13:00",NA,856,31.2,23.8,436.8,0,10.44,7.4,0,0.116,0,2.98,1.8,1.18,0,0.17,358.3,0,7.82,396.2,37.9,14,6.2,64.7,14.2,0.327,0.595,0.404,0.191,100,12,48.2,52,7.3,99.9,13.7,83.2
"269","940690","Gursky's",1994-07-06,"July",1994,187,"09:20",525,869,31.19,26,443.4,0,12.76,5.19,0.017,0.276,0,2.88,2.29,0.594,0,0.17,363.7,0,7.74,403.5,39.8,14.3,6.3,65.8,19.8,0.397,0.586,0.474,0.112,92.3,12.4,48.9,53.1,10.2,119.5,11.7,36.35
"270","940842","Gursky's",1994-07-20,"July",1994,201,"12:15",495,889,27.51,24.9,437.6,0,13.19,2.61,0.024,1.19,0.01,3.37,3.07,0.299,0,0.16,359,0,7.72,396.6,37.6,14,6.2,64.8,23.8,0.704,0.878,0.836,0.042,65.4,11.8,47.5,52,10.2,160.3,15.7,11.82
"271","941106","Gursky's",1994-08-10,"August",1994,222,"09:25",NA,913,42.52,41.5,470.9,0,18.31,1.02,0,0.143,0,3.54,3.4,0.137,0,0.17,386.3,0,7.61,429.5,43.2,15.5,6.4,69.2,29.3,0.392,0.534,0.51,0.024,80.2,12.7,53.2,57.9,8.7,109.6,12.6,38.03
"272","941220","Gursky's",1994-08-23,"August",1994,235,"15:30",566,NA,40,25.6,474.2,0,15.32,14.4,0,0.043,0,4.35,2.024,2.33,0,0.24,389,0,7.69,432.3,43.3,15.7,6.4,70,29.6,0.648,1.16,0.796,0.364,92,13,54.8,57.7,7.2,102,14.2,368.08
"273","941345","Gursky's",1994-09-14,"September",1994,257,"12:45",545,NA,37.1,25,477.8,0,9.49,12.1,0,0.01,0,3.91,2.06,1.85,0,0.17,392,0,7.9,416.2,24.2,15.4,6.5,67.5,30.5,0.621,0.959,0.733,0.226,76.6,13.3,51.2,55.4,7.6,138.1,18.1,214.36
"274","941612","Gursky's",1994-10-11,"October",1994,284,"16:10",578,NA,37.6,26,477.4,16.44,3,11.6,0,0.058,0,3.63,1.99,1.64,0,0.18,419,13.7,8.42,444.1,25.1,16.7,6.6,72.4,30.9,0.576,0.921,0.657,0.264,81.2,13.5,52.7,58.5,8.2,113.3,13.7,129.72
"275","950350","1A",1995-05-30,"May",1995,150,"10:50",1555.8,NA,26.81,26.5,264.5,0,6.62,0.306,0.001,0.082,NA,1.908,1.84,0.068,0,0.1,217,0,7.8,1091.5,874.5,51.4,8.8,179,11.5,0.009,0.074,0.046,0.028,959,23.7,58.9,142,5.2,28.2,5.4,5
"276","950577","1A",1995-06-20,"June",1995,171,"09:30",NA,NA,28.92,28.2,273.1,0,12.48,0.715,0.01,0.26,NA,2.364,2.27,0.094,0,0.1,224,0,7.54,1160,936,56.4,9,192,6.66,0.045,0.121,0.096,0.025,1028,23.9,65.5,148,8.9,73.8,8.3,13.1
"277","950722","1A",1995-07-12,"July",1995,193,"14:00",NA,2214,29.71,28.744,NA,0,NA,0.967,0.001,0.092,NA,2.2,2.041,0.159,0,0.1,210,0,7.68,0,0,59.3,0,200,4.79,0.022,0.096,0.075,0.021,1090,25,67.9,150,7.1,118.7,16.7,16.5
"278","950845","1A",1995-07-25,"July",1995,206,"10:40",1797.8,NA,40.7,29.4,NA,0,NA,11.3,0.001,0.137,NA,3.53,2.24,1.29,0,0.1,212,0,7.41,0,0,60.4,0,204,11.3,0.023,0.22,0.084,0.136,1150,25.6,70.2,149,10.2,214.3,21,12
"279","951064","1A",1995-08-14,"August",1995,226,"13:10",NA,NA,33.48,29.8,NA,0,NA,3.68,0.023,0.33,NA,2.866,2.44,0.426,0,0.1,210,0,7.5,0,0,56.2,0,204,6.99,0.052,0.143,0.109,0.034,1100,24.8,70.9,145,10.1,279.1,27.7,5.8
"280","951245","1A",1995-08-28,"August",1995,240,"13:45",1747.77,NA,29.98,29.3,246.2,0,3.61,0.683,0.001,0.068,0,2.31,2.16,0.15,0,0.09,202,0,8.03,1195.3,993.3,59,9.1,203,0.98,0.031,0.116,0.113,0.003,1120,26.2,73.3,144,5.3,587.1,110.6,13.1
"281","951338","1A",1995-09-12,"September",1995,255,"12:40",NA,NA,30.82,30.6,NA,NA,NA,0.218,0.001,0.114,0,2.575,2.54,0.035,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.055,0.131,0.11,0.021,NA,NA,NA,NA,7.3,26.8,3.7,2.9
"282","951825","1A",1995-10-17,"October",1995,290,"11:40",NA,NA,30.67,30,NA,NA,NA,0.665,0.034,0.109,0,2.702,2.59,0.112,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.024,0.107,0.08,0.027,NA,NA,NA,NA,6.9,63.5,9.2,6.4
"283","950351","1B",1995-05-30,"May",1995,150,"11:30",1544.29,1987,26.55,26.3,269.4,0,6.15,0.25,0.001,0.076,NA,1.929,1.88,0.049,0,0.09,221,0,7.84,1089,868,51.7,8.8,179,11.8,0.008,0.059,0.044,0.015,947,21.7,59.4,141,5.9,43,7.2,2.8
"284","950578","1B",1995-06-20,"June",1995,171,"09:50",NA,NA,31.12,27.9,271.8,0,17.57,3.22,0.001,0.292,NA,2.578,2.206,0.372,0,0.1,223,0,7.39,1168.3,945.3,55.2,8.8,194,7.19,0.038,0.131,0.087,0.044,1100,24,64.8,148,10.1,188.7,18.7,8.4
"285","950723","1B",1995-07-12,"July",1995,193,"13:30",NA,938,29.27,28.602,NA,0,NA,0.664,0.001,0.103,NA,2.073,1.927,0.146,0,0.18,448,0,8.18,0,0,17,0,74,31.2,0.022,0.094,0.075,0.019,83.1,13.6,53.4,63.7,5.3,90.1,17,9
"286","950846","1B",1995-07-25,"July",1995,206,"10:00",1796.6,NA,35.05,31.7,NA,0,NA,3.35,0.001,0.164,NA,2.75,2.31,0.44,0,0.1,214,0,7.6,0,0,60,0,204,11.2,0.019,0.148,0.095,0.053,1150,25.6,70.3,147,8.9,163,18.4,17.5
"287","951065","1B",1995-08-14,"August",1995,226,"12:10",NA,NA,30.19,29.7,NA,0,NA,0.487,0.017,0.303,NA,2.434,2.34,0.094,0,0.1,198,0,7.64,0,0,55.6,0,202,6.45,0.052,0.15,0.12,0.03,1120,24.9,70.1,144,6,41.9,6.9,4.8
"288","951244","1B",1995-08-28,"August",1995,240,"13:20",1736.77,NA,30.18,28.9,258.4,0,3.37,1.28,0.001,0.05,0,2.477,2.19,0.287,0,0.08,212,0,8.08,1220.9,1008.9,59,8.9,208,1.39,0.027,0.124,0.095,0.029,1095,26.7,73.4,146,5.2,113.8,21.9,20.2
"289","951337","1B",1995-09-12,"September",1995,255,"12:25",NA,NA,30.76,30.5,NA,NA,NA,0.255,0.001,0.165,0,2.714,2.68,0.034,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.07,0.145,0.127,0.018,NA,NA,NA,NA,8.7,36.5,4.2,2.4
"290","951824","1B",1995-10-17,"October",1995,290,"13:15",NA,NA,30.94,30,NA,NA,NA,0.944,0.027,0.123,0,2.563,2.42,0.143,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.024,0.106,0.081,0.025,NA,NA,NA,NA,7.7,97.4,12.6,8.5
"291","950352","25",1995-05-30,"May",1995,150,"13:25",1255.62,1743,31.66,31.3,448.6,0,8.12,0.356,0.001,0.084,NA,1.968,1.91,0.058,0,0.11,368,0,7.94,832,464,70.4,14.3,139,5.21,0.288,0.353,0.332,0.021,629,19.9,67.2,104,7.2,43.7,6.1,4.5
