"","Pond","Date","Water_level_m"
"1","1",1993-05-20,NA
"2","1",1993-05-27,NA
"3","1",1993-06-09,NA
"4","1",1993-06-23,NA
"5","1",1993-07-08,0.504
"6","1",1993-07-13,0.507
"7","1",1993-07-22,0.467
"8","1",1993-08-04,0.522
"9","1",1993-08-18,0.532
"10","1",1993-08-27,0.564
"11","1",1993-09-15,0.54
"12","1",1993-10-14,0.59
"13","25",1993-05-20,NA
"14","25",1993-05-27,NA
"15","25",1993-06-10,NA
"16","25",1993-06-23,NA
"17","25",1993-07-08,1.095
"18","25",1993-07-13,1.095
"19","25",1993-07-21,1.068
"20","25",1993-08-04,1.333
"21","25",1993-08-18,1.156
"22","25",1993-08-27,1.187
"23","25",1993-09-15,1.16
"24","25",1993-10-14,1.22
"25","37",1993-05-27,NA
"26","50",1993-05-20,NA
"27","50",1993-05-27,NA
"28","50",1993-06-10,NA
"29","50",1993-06-23,NA
"30","50",1993-07-08,0.792
"31","50",1993-07-13,0.805
"32","50",1993-07-21,0.778
"33","50",1993-08-04,0.84
"34","50",1993-08-18,0.846
"35","50",1993-08-27,0.866
"36","50",1993-09-15,0.82
"37","50",1993-10-14,0.87
"38","60",1993-05-27,NA
"39","60",1993-07-08,1.19
"40","65",1993-05-20,NA
"41","65",1993-05-27,NA
"42","65",1993-06-09,NA
"43","65",1993-06-23,NA
"44","65",1993-07-08,0.41
"45","65",1993-07-13,0.399
"46","65",1993-07-22,0.37
"47","65",1993-08-04,0.423
"48","65",1993-08-18,0.403
"49","65",1993-08-27,0.42
"50","65",1993-09-15,0.36
"51","65",1993-10-14,0.4
"52","66",1993-05-20,NA
"53","66",1993-05-27,NA
"54","66",1993-06-09,0.256
"55","66",1993-06-23,0.283
"56","66",1993-06-30,0.305
"57","66",1993-07-08,0.45
"58","66",1993-07-22,0.478
"59","66",1993-08-04,0.426
"60","66",1993-08-18,0.45
"61","66",1993-08-27,0.428
"62","66",1993-09-15,0.48
"63","66",1993-10-14,0.44
"64","67",1993-05-20,NA
"65","67",1993-05-27,NA
"66","67",1993-06-09,NA
"67","67",1993-06-23,NA
"68","67",1993-07-08,0.634
"69","67",1993-07-22,0.59
"70","67",1993-08-04,0.63
"71","67",1993-08-18,0.631
"72","67",1993-08-27,0.652
"73","67",1993-09-15,NA
"74","67",1993-10-14,0.61
"75","86",1993-05-20,NA
"76","86",1993-05-27,NA
"77","86",1993-06-09,NA
"78","86",1993-06-23,0.922
"79","86",1993-07-08,0.788
"80","86",1993-07-13,0.804
"81","86",1993-07-22,0.762
"82","86",1993-08-04,0.865
"83","86",1993-08-18,0.822
"84","86",1993-08-27,0.957
"85","86",1993-09-14,0.925
"86","86",1993-10-14,1.015
"87","90",1993-05-20,NA
"88","90",1993-05-27,NA
"89","90",1993-06-10,NA
"90","90",1993-06-23,NA
"91","90",1993-07-08,1.015
"92","90",1993-07-21,0.998
"93","90",1993-08-04,1.04
"94","90",1993-08-18,1.031
"95","90",1993-08-27,1.056
"96","90",1993-09-15,1
"97","90",1993-10-14,1.03
"98","4857",1993-05-20,NA
"99","4857",1993-05-27,NA
"100","4857",1993-06-09,NA
"101","4857",1993-06-23,NA
"102","4857",1993-07-08,NA
"103","4857",1993-07-22,NA
"104","4857",1993-08-04,NA
"105","4857",1993-08-18,NA
"106","4857",1993-08-27,NA
"107","4857",1993-09-15,NA
"108","4857",1993-10-14,NA
"109","Gursky's",1993-05-20,NA
"110","Gursky's",1993-05-27,NA
"111","Gursky's",1993-06-09,NA
"112","Gursky's",1993-06-25,NA
"113","Gursky's",1993-07-08,NA
"114","Gursky's",1993-07-21,NA
"115","Gursky's",1993-08-04,NA
"116","Gursky's",1993-08-19,NA
"117","Gursky's",1993-08-27,NA
"118","Gursky's",1993-09-15,NA
"119","Gursky's",1993-10-14,NA
"120","1A",1994-05-10,NA
"121","1A",1994-05-24,NA
"122","1A",1994-06-07,NA
"123","1A",1994-06-21,NA
"124","1A",1994-07-05,NA
"125","1A",1994-07-19,NA
"126","1A",1994-08-09,NA
"127","1A",1994-08-23,NA
"128","1A",1994-09-13,NA
"129","1A",1994-10-12,NA
"130","1B",1994-05-10,0.34
"131","1B",1994-05-24,0.255
"132","1B",1994-06-07,0.19
"133","1B",1994-06-21,0.156
"134","1B",1994-07-05,0.197
"135","1B",1994-07-19,0.2
"136","1B",1994-08-09,0.249
"137","1B",1994-08-23,0.288
"138","1B",1994-09-13,0.345
"139","1B",1994-10-12,0.41
"140","25",1994-05-10,0.64
"141","25",1994-05-24,0.58
"142","25",1994-06-07,0.55
"143","25",1994-06-21,0.56
"144","25",1994-07-05,0.603
"145","25",1994-07-19,NA
"146","25",1994-08-09,0.273
"147","25",1994-08-23,0.312
"148","25",1994-09-13,0.362
"149","25",1994-10-11,0.446
"150","37",1994-05-11,0.99
"151","37",1994-05-24,0.938
"152","37",1994-06-08,0.94
"153","37",1994-06-22,0.963
"154","37",1994-07-06,1.027
"155","37",1994-07-19,1.03
"156","37",1994-08-09,1.164
"157","37",1994-08-23,1.235
"158","37",1994-09-14,1.31
"159","37",1994-10-11,1.31
"160","50",1994-05-11,0.59
"161","50",1994-05-24,0.519
"162","50",1994-06-07,0.508
"163","50",1994-06-21,0.501
"164","50",1994-07-05,0.545
"165","50",1994-07-19,0.53
"166","50",1994-08-09,0.603
"167","50",1994-08-23,0.63
"168","50",1994-09-13,0.677
"169","50",1994-10-11,0.735
"170","60",1994-05-11,0.78
"171","60",1994-05-24,0.728
"172","60",1994-06-08,0.738
"173","60",1994-06-22,0.766
"174","60",1994-07-06,0.834
"175","60",1994-07-19,0.87
"176","60",1994-08-10,1.005
"177","60",1994-08-23,1.095
"178","60",1994-10-11,1.316
"179","65",1994-05-11,0.32
"180","65",1994-05-25,0.28
"181","65",1994-06-08,0.261
"182","65",1994-06-22,0.375
"183","65",1994-07-06,0.306
"184","65",1994-07-20,0.31
"185","65",1994-08-10,0.373
"186","65",1994-08-24,0.411
"187","65",1994-09-14,0.467
"188","65",1994-10-12,0.55
"189","66",1994-05-11,1.12
"190","66",1994-05-25,1.055
"191","66",1994-06-08,1.016
"192","66",1994-06-22,1.01
"193","66",1994-07-06,1.044
"194","66",1994-07-20,1.02
"195","66",1994-08-10,1.075
"196","66",1994-08-24,1.102
"197","66",1994-09-14,1.138
"198","66",1994-10-12,NA
"199","67",1994-05-11,0.14
"200","67",1994-05-25,0.235
"201","67",1994-06-08,0.208
"202","67",1994-06-22,0.24
"203","67",1994-07-06,0.233
"204","67",1994-07-20,0.22
"205","67",1994-08-10,0.276
"206","67",1994-08-24,0.309
"207","67",1994-09-14,0.354
"208","67",1994-10-12,0.42
"209","86",1994-05-11,0.41
"210","86",1994-05-25,0.369
"211","86",1994-06-08,0.356
"212","86",1994-06-22,0.38
"213","86",1994-07-06,0.45
"214","86",1994-07-20,0.49
"215","86",1994-08-10,0.61
"216","86",1994-08-24,0.7
"217","86",1994-09-14,0.832
"218","86",1994-10-12,1.05
"219","90",1994-05-11,0.96
"220","90",1994-05-25,0.898
"221","90",1994-06-08,0.851
"222","90",1994-06-22,0.869
"223","90",1994-07-06,0.884
"224","90",1994-07-20,0.89
"225","90",1994-08-10,0.945
"226","90",1994-08-24,0.981
"227","90",1994-09-14,1.01
"228","90",1994-10-12,1.04
"229","109",1994-05-11,0.54
"230","109",1994-05-25,0.5
"231","109",1994-06-09,0.483
"232","109",1994-06-22,0.509
"233","109",1994-07-06,0.575
"234","109",1994-07-20,0.59
"235","109",1994-08-09,0.725
"236","109",1994-08-24,0.862
"237","109",1994-09-14,1.019
"238","109",1994-10-11,1.22
"239","4857",1994-05-11,0.52
"240","4857",1994-05-25,0.47
"241","4857",1994-06-08,0.46
"242","4857",1994-06-21,0.466
"243","4857",1994-07-05,0.49
