"","Depth_cm","Pond","Date","Be_ppm","B_ppm","Al_ppm","Li_ppm","Ga_ppm","Na_ppm","Mg_ppm","K_ppm","Ti_ppm","Si_ppm","Ca_ppm","Fe_ppm","V_ppm","Cr_ppm","Mn_ppm","Co_ppm","Ni_ppm","Cu_ppm","Zn_ppm","Rb_ppm","Sr_ppm","P_ppm","S_ppm","As_ppm","Se_ppm","Mo_ppm","Cd_ppm","Cs_ppm","Ba_ppm","Ce_ppm","Pb_ppm","Th_ppm","U_ppm","Depth_cm_sum"
"21","6-8",125,2023-07-28,"25.43","159.6","12580","54.22","24.74","3415","6820","8183","903.1","109800","24990","8492","134","64.25","346.5","BDL","6.197","BDL","182.2","166.5","758.6","842.1","17240","111.3","86.66","78.48","1.574","22.6","367.8","17.93","6.249","41.65","42.16",-6
"22","8-10",125,2023-07-28,"26.24","215.7","16630","56.72","26.06","4567","8289","9377","985","142800","22050","11830","142.8","67.03","327.4","BDL","8.063","BDL","199.2","176.3","776.8","883.7","22980","115.4","89.54","81.45","1.7","23.41","398.3","21.07","7.519","43.18","48.28",-8
"23","10-12",125,2023-07-28,"26.45","193.1","8965","54.83","27.37","5110","3871","11370","1360","190600","50340","13340","148.6","69.75","445.8","BDL","9.945","BDL","180.5","174.9","891.4","780.6","17550","113","89.01","80.27","1.619","22.99","453.7","18.96","301.2","42.73","42.43",-10
"24","14-16",125,2023-07-28,"25.32","181.5","21020","49.59","27.7","4964","7592","13280","1694","197300","12820","14400","151.9","71.16","377.6","14.25","12.98","0.6935","176.9","173.8","741.8","766.5","17950","107.9","85.5","76.72","1.548","22.52","477.9","29.77","10.23","41.52","40.39",-14
"25","18-22",125,2023-07-28,"27.23","189.5","28910","59.71","31.03","5784","10150","15910","1996","219300","15230","17440","174","78.96","419.2","16.03","16.53","2.024","198.2","194.2","802.5","862.3","22560","118.6","91.13","82.32","1.742","24.35","552.4","38.01","11.05","45.17","44.05",-18
"26","22-26",125,2023-07-28,"26.34","189.3","18250","52.1","28.99","7463","6053","14790","1570","249400","17120","12530","150.3","72.22","366.7","BDL","11.13","BDL","172.3","179.6","803.3","716.4","17190","114.4","88.24","79.3","1.532","22.98","528.6","26.42","10.05","42.13","41.69",-22
"27","0-2",1,2023-07-28,"","","","","184.8","","","","1299","229700","53080","10040","137.9","65.63","534.4","BDL","8.159","BDL","244.2","164.9","813.1","924","10380","104.7","84.52","76.31","1.396","21.62","446.5","16.03","8.92","40.37","38.91",0
"28","2-4",1,2023-07-28,"","","","","190.1","","","","1027","299100","23400","7171","127.4","64.79","375.1","BDL","2.521","BDL","148.7","170.7","800.8","596.5","6585","106.3","85.97","78.42","1.346","22.27","498","18.63","9.197","40.89","38.8",-2
"29","4-6",1,2023-07-28,"","","","","196.8","","","","1011","311400","10490","7581","129.5","64.9","351.2","BDL","1.594","BDL","162.9","175.8","817.6","555","6619","110.3","88.6","80.33","1.387","22.92","440.3","16.97","8.376","41.97","39.68",-4
"30","6-8",1,2023-07-28,"","","","","195.2","","","","1071","313800","12290","8049","130.2","67.45","354","BDL","2.373","BDL","143.4","182","790.4","526.2","6566","110.1","88.44","79.86","1.36","23.05","483","17.83","8.955","41.92","39.32",-6
