"pond_id","Region","sample_date","pH","Fe (mg/L)","SO4 (mg/L)","DOC (mg/L)","DOC (mg/L) (0.45 Filter)","Abs254nm (1.2 filter)","Abs254nm (0.45 filter)","SUVA","Bottle # (PCO2)","Whole Water THg (ng/L)","Whole Water MeHg (ng/L)","MeHg Std Err","%MeHg","CO2 (umol/L)","CH4 (umol/L)","DIC (mg/L)","DIC (mg/L) (0.45 Filter)","TDC (mg/L) (DIC+DOC)","ChlA","DataSource","water temp C","Conductivity_uS_cm","DO (%)","DO (mg/L)","Secchi (cm)","Secchi on the ground?","ORP","Air temp C","Cloud %","Vegetation","analyzing_date","Abs250nm (0.45 filter)","Abs280nm (0.45 filter)","Abs350nm (0.45 filter)","Abs365nm (0.45 filter)","Abs370nm (0.45 filter)","Abs250nm (1.2 filter)","280 nmAbs280nm (1.2 filter)","Abs350nm (1.2 filter)","Abs365nm (1.2 filter)","Abs370nm (1.2 filter)","Time","TRP MDL = .00567","SRP MDL =.00567","TDP MDL = .0041","TP MDL = 0.0041","NH3 MDL = .021","UREA MDL = .0202","NO3 MDL = .0073","TN MDL = .0447","SO4 MDL = 1.015","Alk MDL = 3.16","TDN MDL = 0.0447","Site","Replicate","Weight (g)","Height","Hg [ng]","Concentration (µg/kg)","Latitude","Longitude","CLASS","Other Observation","Comments"
"109","SDNWA","2022-05-24",8.26,NA,241.89,13.02,NA,0.594076,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.7,NA,NA,0.59196636,"U of R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2022-05-26",NA,NA,NA,NA,NA,0.617444,0.436906,0.132181,0.10356,0.09465,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-106.08574700556,52.2087749369114,3,NA,NA
"118","SDNWA","2022-05-24",7.3,NA,25.69,22.92,NA,1.22765,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.81,NA,NA,2.1730462,"U of R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2022-05-26",NA,NA,NA,NA,NA,1.28312,0.938887,0.313084,0.243113,0.221995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-106.084401628984,52.2096664020324,3,NA,NA
"124","SDNWA","2022-05-24",8.79,NA,4542.355,41.51,NA,1.31804,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.38,NA,NA,4.17715584,"U of R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2022-05-26",NA,NA,NA,NA,NA,1.36792,0.88182,0.207766,0.154931,0.139393,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-106.080447951479,52.2115393467169,3,NA,NA
"125","SDNWA","2022-05-24",8.44,NA,3641.44,50.73,NA,1.31999,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.73,NA,NA,21.123296,"U of R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2022-05-26",NA,NA,NA,NA,NA,1.37763,0.719726,0.161599,0.119816,0.107471,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-106.0851225,52.21303487,NA,NA,NA
"140","SDNWA","2022-05-24",8.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"U of R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-106.085122541894,52.2130348692119,3,NA,NA
"1","SDNWA","2022-06-08",8.7,NA,NA,38.17,NA,0.906103,NA,NA,NA,NA,NA,NA,NA,NA,NA,72.03,NA,NA,58.5069644,"U of R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2022-06-10",NA,NA,NA,NA,NA,0.942913,0.536144,0.10938,0.0824657,0.0748838,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-106.090051039219,52.213064598347,5,NA,NA
"2","SDNWA","2022-06-08",8.54,NA,3229.595,43.16,NA,1.36958,NA,NA,NA,NA,NA,NA,NA,NA,NA,92.74,NA,NA,9.69783452,"U of R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2022-06-10",NA,NA,NA,NA,NA,1.42685,0.946085,0.257523,0.194754,0.176499,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-106.087829758726,52.214974949291,3,NA,NA
"6","SDNWA","2022-06-08",7.62,NA,4873.57,31.72,NA,1.2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.43,NA,NA,21.65186208,"U of R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2022-06-10",NA,NA,NA,NA,NA,1.25349,0.835096,0.226619,0.171196,0.154819,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-106.09101341892,52.2096278983012,3,NA,NA
"15","SDNWA","2022-06-08",7.93,NA,138.905,9.08,NA,0.122596,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.08,NA,NA,4.0648472,"U of R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2022-06-10",NA,NA,NA,NA,NA,0.127752,0.0911819,0.0319663,0.0259696,0.0241591,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-106.095052463821,52.2151801263672,4,NA,NA
"35","SDNWA","2022-06-08",8.32,NA,2665.215,34.31,NA,1.16805,NA,NA,NA,NA,NA,NA,NA,NA,NA,62.63,NA,NA,3.21764228,"U of R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2022-06-10",NA,NA,NA,NA,NA,1.2157,0.774792,0.184051,0.138044,0.124772,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-106.105423736776,52.2113865225708,4,NA,NA
"37","SDNWA","2022-06-08",8.5,NA,2596.73,41.44,NA,1.3928,NA,NA,NA,NA,NA,NA,NA,NA,NA,72.52,NA,NA,1.8484916,"U of R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2022-06-10",NA,NA,NA,NA,NA,1.4588,0.950702,0.2439,0.184029,0.166727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-106.110277459211,52.2087586096606,4,NA,NA
"97/98","SDNWA","2022-06-08",8.2,NA,7332.395,100.34,NA,1.38035,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.68,NA,NA,3.76338532,"U of R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2022-06-10",NA,NA,NA,NA,NA,1.4411,0.84119,0.167864,0.1221363,0.109475,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-106.078079,52.209151,NA,NA,NA
"109","SDNWA","2022-06-08",7.98,NA,271.52,19.05,NA,0.796398,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.69,NA,NA,6.7216311,"U of R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2022-06-10",NA,NA,NA,NA,NA,0.826865,0.574055,0.168636,0.131067,0.119669,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-106.08574700556,52.2087749369114,3,NA,NA
"118","SDNWA","2022-06-08",7.91,NA,14.55,33.55,NA,1.72233,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.39,NA,NA,24.35865993,"U of R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2022-06-10",NA,NA,NA,NA,NA,1.79406,1.30611,0.411141,0.31634,0.288522,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-106.084401628984,52.2096664020324,3,NA,NA
"124","SDNWA","2022-06-08",8.37,NA,7653.3,83.11,NA,2.45584,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.68,NA,NA,4.73956712,"U of R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2022-06-10",NA,NA,NA,NA,NA,2.52076,1.64945,0.367054,0.270156,0.242428,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-106.080447951479,52.2115393467169,3,NA,NA
"125","SDNWA","2022-06-08",8.23,NA,4497.135,61.25,NA,1.59669,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.11,NA,NA,33.04991187,"U of R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2022-06-10",NA,NA,NA,NA,NA,1.66237,0.950778,0.192312,0.14193,0.127688,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-106.0851225,52.21303487,NA,NA,NA
"1","SDNWA","2022-06-21",8.36,NA,NA,38,NA,0.448311,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.75,NA,NA,247.0737417,"U of R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2022-06-23",NA,NA,NA,NA,NA,0.465753,0.265525,0.0553999,0.0415375,0.038525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-106.090051039219,52.213064598347,5,NA,NA
"2","SDNWA","2022-06-21",8.55,NA,3035.99,42.05,NA,1.51586,NA,NA,NA,NA,NA,NA,NA,NA,NA,76.71,NA,NA,9.046771032,"U of R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2022-06-23",NA,NA,NA,NA,NA,1.57449,1.05607,0.300322,0.227909,0.20665,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-106.087829758726,52.214974949291,3,NA,NA
"6","SDNWA","2022-06-21",7.97,NA,4224.35,33.58,NA,0.572963,NA,NA,NA,NA,NA,NA,NA,NA,NA,71.48,NA,NA,63.53463496,"U of R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2022-06-23",NA,NA,NA,NA,NA,0.597931,0.397784,0.109187,0.0835136,0.0760083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-106.09101341892,52.2096278983012,3,NA,NA
"15","SDNWA","2022-06-21",7.58,NA,102.605,10.26,NA,0.329194,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.65,NA,NA,11.90191692,"U of R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2022-06-23",NA,NA,NA,NA,NA,0.341477,0.23875,0.0722586,0.0567297,0.0519142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-106.095052463821,52.2151801263672,4,NA,NA
"35","SDNWA","2022-06-21",8.17,NA,2848.32,42.71,NA,0.664657,NA,NA,NA,NA,NA,NA,NA,NA,NA,83.79,NA,NA,5.99380948,"U of R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2022-06-23",NA,NA,NA,NA,NA,0.692154,0.438986,0.106211,0.0798751,0.0721393,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-106.105423736776,52.2113865225708,4,NA,NA
"37","SDNWA","2022-06-21",8.22,NA,2029.645,35.87,NA,0.639002,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.41,NA,NA,24.44596268,"U of R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2022-06-23",NA,NA,NA,NA,NA,0.666867,0.434005,0.109914,0.0831455,0.0753006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-106.110277459211,52.2087586096606,4,NA,NA
"97/98","SDNWA","2022-06-21",8.71,NA,6134.27,96.19,NA,0.936787,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.16,NA,NA,4.488716,"U of R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2022-06-23",NA,NA,NA,NA,NA,0.980669,0.572776,0.122142,0.0908894,0.0820992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-106.078079,52.209151,NA,NA,NA
"109","SDNWA","2022-06-21",7.96,NA,225.06,21.36,NA,0.928695,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.15,NA,NA,30.3378336,"U of R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2022-06-23",NA,NA,NA,NA,NA,0.962967,0.658887,0.198479,0.155337,0.142496,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-106.08574700556,52.2087749369114,3,NA,NA
"118","SDNWA","2022-06-21",8.79,NA,14.425,38.59,NA,1.03369,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.66,NA,NA,117.8107492,"U of R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2022-06-23",NA,NA,NA,NA,NA,1.07532,0.777674,0.236337,0.181068,0.164782,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-106.084401628984,52.2096664020324,3,NA,NA
"124","SDNWA","2022-06-21",8.28,NA,6353.845,69.37,NA,1.17252,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.11,NA,NA,50.54239755,"U of R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2022-06-23",NA,NA,NA,NA,NA,1.21864,0.766776,0.186704,0.139517,0.126021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-106.080447951479,52.2115393467169,3,NA,NA
"125","SDNWA","2022-06-21",7.88,NA,4280.585,63.7,NA,0.46002,NA,NA,NA,NA,NA,NA,NA,NA,NA,62.27,NA,NA,8.38048388,"U of R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2022-06-23",NA,NA,NA,NA,NA,0.479422,0.275411,0.0620412,0.0472158,0.0430854,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-106.0851225,52.21303487,NA,NA,NA
"140","SDNWA","2022-06-21",8.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"U of R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-106.085122541894,52.2130348692119,3,NA,NA
"1","SDNWA","2022-07-06",8.57,NA,NA,39.95,NA,0.508863,NA,NA,NA,NA,NA,NA,NA,NA,NA,71.7,NA,NA,96.8896988,"U of R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2022-07-08",NA,NA,NA,NA,NA,0.529485,0.302243,0.0639561,0.0486178,0.0440538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-106.090051039219,52.213064598347,5,NA,NA
"2","SDNWA","2022-07-06",8.48,NA,3785.71,60.89,NA,0.982221,NA,NA,NA,NA,NA,NA,NA,NA,NA,105.57,NA,NA,80.01920852,"U of R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2022-07-08",NA,NA,NA,NA,NA,1.0241,0.659532,0.169214,0.125845,0.113371,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-106.087829758726,52.214974949291,3,NA,NA
"6","SDNWA","2022-07-06",7.86,NA,5241.345,40.74,NA,0.763654,NA,NA,NA,NA,NA,NA,NA,NA,NA,102.42,NA,NA,9.076962216,"U of R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2022-07-08",NA,NA,NA,NA,NA,0.796123,0.523469,0.14078,0.106307,0.0960471,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-106.09101341892,52.2096278983012,3,NA,NA
"15","SDNWA","2022-07-06",7.59,NA,70.825,10.08,NA,0.199848,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.58,NA,NA,13.34410404,"U of R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2022-07-08",NA,NA,NA,NA,NA,0.20831,0.148541,0.0444427,0.0347136,0.0315861,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-106.095052463821,52.2151801263672,4,NA,NA
"35","SDNWA","2022-07-06",8.34,NA,3421.145,48.23,NA,0.781652,NA,NA,NA,NA,NA,NA,NA,NA,NA,93.27,NA,NA,9.76023884,"U of R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2022-07-08",NA,NA,NA,NA,NA,0.814973,0.503588,0.114052,0.0842792,0.0755653,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-106.105423736776,52.2113865225708,4,NA,NA
"37","SDNWA","2022-07-06",8.22,NA,2333.48,47.7,NA,0.835749,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.14,NA,NA,68.6079268,"U of R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2022-07-08",NA,NA,NA,NA,NA,0.87289,0.556839,0.139506,0.105955,0.0953911,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-106.110277459211,52.2087586096606,4,NA,NA
"97/98","SDNWA","2022-07-06",9.05,NA,12205.13,123.11,NA,1.80013,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.09,NA,NA,9.57717204,"U of R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2022-07-08",NA,NA,NA,NA,NA,1.87176,1.10935,0.223663,0.161789,0.144386,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-106.078079,52.209151,NA,NA,NA
"109","SDNWA","2022-07-06",7.6,NA,225.76,26.08,NA,0.563674,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.37,NA,NA,36.12927412,"U of R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2022-07-08",NA,NA,NA,NA,NA,0.585064,0.40149,0.121422,0.0949723,0.0869039,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-106.08574700556,52.2087749369114,3,NA,NA
"118","SDNWA","2022-07-06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"U of R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-106.084401628984,52.2096664020324,3,"Dry",NA
"124","SDNWA","2022-07-06",7.88,NA,8451.69,93.94,NA,1.57985,NA,NA,NA,NA,NA,NA,NA,NA,NA,98.44,NA,NA,16.2018813,"U of R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2022-07-08",NA,NA,NA,NA,NA,1.64137,1.01053,0.236876,0.174885,0.156973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-106.080447951479,52.2115393467169,3,NA,NA
"125","SDNWA","2022-07-06",7.84,NA,5005.48,69.49,NA,0.901277,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.99,NA,NA,5.77076524,"U of R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2022-07-08",NA,NA,NA,NA,NA,0.942042,0.532483,0.114887,0.0851416,0.0765967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-106.0851225,52.21303487,NA,NA,NA
"1","SDNWA","2022-07-19",8.38,NA,NA,43.12,NA,0.985625,0.899165,NA,NA,NA,NA,NA,NA,NA,NA,68.28,NA,NA,94.4612595,"U of R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-106.090051039219,52.213064598347,5,NA,NA
"2","SDNWA","2022-07-19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"U of R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-106.087829758726,52.214974949291,3,"Dry",NA
"6","SDNWA","2022-07-19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"U of R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-106.09101341892,52.2096278983012,3,"Dry",NA
"15","SDNWA","2022-07-19",7.46,NA,56.77,11.3,NA,0.390416,0.34268,NA,NA,NA,NA,NA,NA,NA,NA,70.66,NA,NA,13.54988208,"U of R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-106.095052463821,52.2151801263672,4,NA,NA
"35","SDNWA","2022-07-19",8.47,NA,3735.45,65.67,NA,1.97015,1.76743,NA,NA,NA,NA,NA,NA,NA,NA,88.29,NA,NA,29.3969662,"U of R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-106.105423736776,52.2113865225708,4,NA,NA
"37","SDNWA","2022-07-19",8.21,NA,2807.975,57.21,NA,1.95236,1.7789,NA,NA,NA,NA,NA,NA,NA,NA,66.25,NA,NA,NA,"U of R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-106.110277459211,52.2087586096606,4,NA,NA
"97/98","SDNWA","2022-07-19",8.8,NA,9551.78,180.94,NA,3.76243,3.49614,NA,NA,NA,NA,NA,NA,NA,NA,65.11,NA,NA,50.27410344,"U of R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-106.078079,52.209151,NA,NA,NA
"109","SDNWA","2022-07-19",7.81,NA,233.83,28.14,NA,1.23853,1.1188,NA,NA,NA,NA,NA,NA,NA,NA,79.3,NA,NA,37.951544,"U of R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-106.08574700556,52.2087749369114,3,NA,NA
"118","SDNWA","2022-07-19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"U of R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-106.084401628984,52.2096664020324,3,"Dry",NA
"124","SDNWA","2022-07-19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"U of R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-106.080447951479,52.2115393467169,3,"Dry",NA
"125","SDNWA","2022-07-19",7.83,NA,5254.465,77.16,NA,2.14,1.94202,NA,NA,NA,NA,NA,NA,NA,NA,65.23,NA,NA,11.7859648,"U of R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-106.0851225,52.21303487,NA,NA,NA
"140","SDNWA","2022-07-19",8.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"U of R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-106.085122541894,52.2130348692119,3,NA,NA
"1","SDNWA","2022-08-03",8.6,NA,NA,43.83,42.9,1.02029,0.998986,NA,NA,NA,NA,NA,NA,NA,NA,72.12,69.03,NA,271.2955358,"U of R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-106.090051039219,52.213064598347,5,NA,NA
"2","SDNWA","2022-08-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"U of R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-106.087829758726,52.214974949291,3,"Dry",NA
"6","SDNWA","2022-08-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"U of R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-106.09101341892,52.2096278983012,3,"Dry",NA
"15","SDNWA","2022-08-03",8.07,NA,36.83,11.91,11.65,0.373228,0.359132,NA,NA,NA,NA,NA,NA,NA,NA,68.91,69.03,NA,2.9199506,"U of R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-106.095052463821,52.2151801263672,4,NA,NA
"35","SDNWA","2022-08-03",8.95,NA,4463.445,66.35,65.95,2.01657,2.00845,NA,NA,NA,NA,NA,NA,NA,NA,57.59,57.65,NA,16.18304888,"U of R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-106.105423736776,52.2113865225708,4,NA,NA
