WEVS 1995 Data Summary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample,Station,Date,Julian,Time,TDS,Cond.,TOC,DOC,HCO3,CO3 ,Free CO2 ,POC ,NO3+NO2 ,NH3-tot  ,NH3(un-ion ,TN ,DN ,PN ,OH ,F-diss  ,Alk-tot  ,Alk-p ,pH ,Hard-tot ,Hard-nonCO3 ,Na-diss ,%Na ,Mg-diss ,SiO2 ,P-diss ortho ,P-tot  ,P-diss ,P-part ,SO4-diss ,Cl-diss ,K-diss ,Ca-diss ,PC:PN,PC:PP,PN:PP,Chl a,,,,,,,,,,,,,,,,,,,,,,,
,,,Days,,mg/L,usie/cm,mg/L,mg/L, mg/L, mg/L, mg/L, mg/L, mg/L, mg/L, mg/L, mg/L, mg/L, mg/L, mg/L, mg/L, mg/L, mg/L, pH units, mg/L, mg/L, mg/L,, mg/L, mg/L, mg/L, mg/L, mg/L, mg/L, mg/L, mg/L, mg/L, mg/L,,,,mg/L,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
951337,1B,12-Sep-95 ,255,1225,,,30.76,30.5,,,,0.255,L0.01!,0.165,0,2.714,2.68,0.034,0,,,,,,,,,,,0.07,0.145,0.127,0.018,,,,,8.7,36.5,4.2,2.4,,,,,,,,,,,,,,,,,,,,,,,
951824,1B,17-Oct-95 ,290,1315,,,30.94,30,,,,0.944,0.027,0.123,0,2.563,2.42,0.143,0,,,,,,,,,,,0.024,0.106,0.081,0.025,,,,,7.7,97.4,12.6,8.5,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
950352,25,30-May-95 ,150,1325,1255.62,1743,31.66,31.3,448.6,0,8.12,0.356,L0.01!,0.084,,1.968,1.91,0.058,0,0.11,368,0,7.94,832,464,70.4,14.3,139,5.21,0.288,0.353,0.332,0.021,629,19.9,67.2,104,7.2,43.7,6.1,4.5,,,,,,,,,,,,,,,,,,,,,,,
950579,25,20-Jun-95 ,171,1035,1379.82,1920,34.83,34.5,493.7,0,18.76,0.332,L0.01!,0.182,,2.354,2.3,0.054,0,0.12,405,0,7.62,906.2,501.2,79.1,14.6,154,20.9,0.391,0.497,0.481,0.016,673,22.6,78.1,109,7.2,53.5,7.5,3.2,,,,,,,,,,,,,,,,,,,,,,,
950724,25,12-Jul-95 ,193,1510,1776.01,2228,41.68,40.528,,0,,1.15,L0.01!,0.064,,2.485,2.3,0.185,0,0.1,218,0,7.54,0,0,57.3,0,201,3.81,0.389,0.516,0.482,0.034,1140,25.3,67.7,150,7.2,87.2,12.0,2.1,,,,,,,,,,,,,,,,,,,,,,,
950847,25,25-Jul-95 ,206,1530,1529.03,2030,43.36,42.5,,0,,0.86,L0.01!,0.177,,2.744,2.62,0.124,0,0.13,406,16.6,8.36,0,0,90.8,0,172,33.6,0.433,0.564,0.532,0.032,774,25.5,85.4,104,8.1,69.3,8.6,9.5,,,,,,,,,,,,,,,,,,,,,,,
951066,25,14-Aug-95 ,226,1515,1475.13,2000,40.74,40,,0,,0.744,L0.01!,0.071,,2.364,2.27,0.094,0,0.13,394,21.2,8.35,0,0,87.6,0,170,16.2,0.368,0.471,0.439,0.032,753,24.4,83.4,104,9.2,60.0,6.5,6.1,,,,,,,,,,,,,,,,,,,,,,,
951240,25,28-Aug-95 ,240,1100,1554.43,2070,40.92,40.6,440.5,28.56,3.62,0.321,L0.01!,0.061,0,2.544,2.48,0.064,0,0.13,409,23.8,8.33,1002.5,593.5,95.7,15.7,178,13.9,0.413,0.54,0.484,0.056,797,25.9,90.4,108,5.8,14.8,2.5,2.4,,,,,,,,,,,,,,,,,,,,,,,
951336,25,12-Sep-95 ,255,1157,,,44.22,43.7,,,,0.52,L0.01!,0.058,0,2.812,2.73,0.082,0,,,,,,,,,,,0.43,0.522,0.499,0.023,,,,,7.4,58.3,7.9,2.4,,,,,,,,,,,,,,,,,,,,,,,
951823,25,17-Oct-95 ,290,1220,,,43.85,42.9,,,,0.946,0.015,0.044,0,3.108,2.98,0.128,0,,,,,,,,,,,0.22,0.332,0.315,0.017,,,,,8.6,143.5,16.6,9.3,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
950362,37,31-May-95 ,151,0930,377.92,657,65.34,64.3,373,0,20.05,1.04,L0.01!,0.232,,4.568,4.42,0.148,0,0.19,306,0,7.47,293.8,0,4.27,2.5,35.1,8.56,0.031,0.745,0.424,0.321,10.4,19.8,56.2,59.8,8.2,8.4,1.0,42.8,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
950361,50,30-May-95 ,150,1545,4761.3,5220,56.24,55.7,543.7,0,12.12,0.541,L0.01!,0.035,,2.188,2.09,0.098,0,0.12,446,0,7.85,2776.4,2330.4,397,22.8,564,3.58,0.014,0.094,0.077,0.017,3120,104,123,182,6.4,82.1,12.7,4.5,,,,,,,,,,,,,,,,,,,,,,,
950586,50,20-Jun-95 ,171,1440,6048.29,6630,71.33,70.2,681.4,0,19.61,1.13,L0.01!,0.078,,2.264,2.05,0.214,0,0.09,559,0,7.74,3531.3,2972.3,534,23.7,734,11.8,0.015,0.135,0.091,0.044,3940,123,166,204,6.2,66.2,10.8,9.7,,,,,,,,,,,,,,,,,,,,,,,
950731,50,12-Jul-95 ,193,1450,235.06,411,70.90,69.159,,0,,1.74,L0.01!,0.21,,3.079,2.855,0.224,0,0.16,167,0,6.86,0,0,2.71,0,15.9,24,0.059,0.192,0.145,0.047,10.1,8.09,35.5,38.4,9.1,95.5,10.5,5.1,,,,,,,,,,,,,,,,,,,,,,,
950853,50,25-Jul-95 ,206,1501,7709.81,8020,73.46,71.3,,0,,2.16,L0.01!,14.4,,10.501,10.2,0.301,0,0.01,709,0,7.58,0,0,682,0,956,11.4,0.046,0.169,0.131,0.038,5050,155,180,250,8.4,146.6,17.5,12.8,,,,,,,,,,,,,,,,,,,,,,,
951072,50,14-Aug-95 ,226,1545,6261.99,7170,63.85,61,,0,,2.85,L0.01!,0.084,,3.088,2.68,0.408,0,0.05,539,0,7.72,0,0,564,0,794,4.54,0.07,0.184,0.131,0.053,4240,132,I56,204,8.1,138.7,17.0,22.5,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
950354,65,30-May-95 ,150,1440,2515.28,3077,30.48,30.1,577.8,0,8.68,0.384,L0.01!,0.123,,1.810,1.74,0.07,0,0.07,474,0,8.02,1499,1025,239,25.1,298,2.11,0.012,0.055,0.048,0.007,1500,41.9,40.8,109,6.4,141.5,22.1,2,,,,,,,,,,,,,,,,,,,,,,,
950581,65,20-Jun-95 ,171,1115,2820.66,3320,34.13,33.2,620.5,0,7.38,0.93,L0.01!,0.11,,1.959,1.81,0.149,0,0.06,509,0,8.12,1550.5,1041.5,273,27,319,4.8,0.011,0.073,0.042,0.031,1731,46,46.4,95,7.3,77.4,10.6,7.3,,,,,,,,,,,,,,,,,,,,,,,
950726,65,12-Jul-95 ,193,1050,5551.96,6080,37.08,36.407,,0,,0.675,L0.01!,0.042,,2.047,1.943,0.104,0,0.06,672,0,8.12,0,0,516,0,713,4.5,0.005,0.052,0.038,0.014,3582,85,75.2,173,7.6,124.3,16.4,2.3,,,,,,,,,,,,,,,,,,,,,,,
