WEVS 1995 Data Summary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample,Station,Date,Julian,Time,TDS,Cond.,TOC,DOC,HCO3,CO3 ,Free CO2 ,POC ,NO3+NO2 ,NH3-tot  ,NH3(un-ion ,TN ,DN ,PN ,OH ,F-diss  ,Alk-tot  ,Alk-p ,pH ,Hard-tot ,Hard-nonCO3 ,Na-diss ,%Na ,Mg-diss ,SiO2 ,P-diss ortho ,P-tot  ,P-diss ,P-part ,SO4-diss ,Cl-diss ,K-diss ,Ca-diss ,PC:PN,PC:PP,PN:PP,Chl a,,,,,,,,,,,,,,,,,,,,,,,
,,,Days,,mg/L,usie/cm,mg/L,mg/L, mg/L, mg/L, mg/L, mg/L, mg/L, mg/L, mg/L, mg/L, mg/L, mg/L, mg/L, mg/L, mg/L, mg/L, pH units, mg/L, mg/L, mg/L,, mg/L, mg/L, mg/L, mg/L, mg/L, mg/L, mg/L, mg/L, mg/L, mg/L,,,,mg/L,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
950730,109,12-Jul-95 ,193,1435,17538.55544,15683,69.04,44.639,,0,,24.4,0.008,0.178,,7.140,4.22,2.92,0,0.03,862,0,7.74,0,0,1730,0,2230,2.29,3.54,5.5,3.84,1.660,12200,359,325,175,9.7,37.9,3.9,11.1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
950349,4857,31-May-95 ,151,1215,614.36,945,20.60,20.2,297.4,0,5.14,0.396,L0.01!,0.024,,1.493,1.44,0.053,0,0.11,244,0,7.96,455.5,211.5,23.5,9.3,70.3,2.75,0.039,0.141,0.127,0.014,255,17,32.8,66.5,8.7,72.9,8.4,5.2,,,,,,,,,,,,,,,,,,,,,,,
950576,4857,20-Jun-95 ,171,1010,653.66,1010,23.82,23.4,325.5,0,17.9,0.415,L0.01!,0.142,,1.916,1.81,0.106,0,0.12,267,0,7.46,475.1,208.1,26.1,9.8,77.2,8.84,0.012,0.194,0.17,0.024,263,17.1,38.1,63,4.6,44.6,9.8,39.4,,,,,,,,,,,,,,,,,,,,,,,
950721,4857,12-Jul-95 ,193,0930,639.3,983,26.14,25.367,,0,,0.775,L0.01!,0.238,,2.194,2.025,0.169,0,0.11,247,0,7.66,0,0,28.5,0,77.8,7.69,0.053,0.146,0.112,0.034,268,17.6,39.3,52.1,5.3,58.8,11.0,4.7,,,,,,,,,,,,,,,,,,,,,,,
950844,4857,25-Jul-95 ,206,1230,646.54,960,26.76,26.3,,0,,0.455,L0.01!,0.054,,2.200,2.11,0.09,0,0.12,230,18.4,8.76,0,0,29.3,0,80.7,1.02,0.011,0.078,0.071,0.007,293,18.2,39.9,46.3,5.9,167.6,28.4,4.2,,,,,,,,,,,,,,,,,,,,,,,
951063,4857,14-Aug-95 ,226,0950,654.08,1010,27.03,26.2,,0,,0.827,L0.01!,0.077,,2.085,1.92,0.165,0,0.12,246,0,7.82,0,0,28,0,81.8,5.16,0.085,0.174,0.152,0.022,276,18.1,42,55.3,5.8,96.9,16.6,9.3,,,,,,,,,,,,,,,,,,,,,,,
951239,4857,28-Aug-95 ,240,1030,700.49,1080,29.45,29,331.6,0,6.9,0.452,L0.01!,0.074,0,2.171,2.07,0.101,0,0.12,272,0,7.88,511.8,239.8,30.4,10.4,86.6,3.27,0.134,0.224,0.191,0.033,290,19.3,45.4,62.2,5.2,35.3,6.8,8,,,,,,,,,,,,,,,,,,,,,,,
951339,4857,12-Sep-95 ,255,1350,,,29.43,28.9,,,,0.532,L0.01!,0.043,0,2.260,2.17,0.09,0,,,,,,,,,,,0.2,0.266,0.248,0.018,,,,,6.9,76.2,11.1,2.8,,,,,,,,,,,,,,,,,,,,,,,
951826,4857,17-Oct-95 ,290,1050,,,31.54,28.7,,,,2.84,L0.01!,0.098,0,2.491,2.16,0.331,0,,,,,,,,,,,0.075,0.167,0.127,0.040,,,,,10.0,183.1,18.3,11.9,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
950356,6642,31-May-95 ,151,1015,843.51,1245,42.17,41.5,485.2,0,13.03,0.665,L0.01!,0.07,,2.788,2.64,0.148,0,0.11,398,0,7.77,669.6,271.6,29.6,8.3,112,20.3,0.521,0.671,0.65,0.021,310,14.6,34.6,83.5,5.2,81.7,15.6,3.1,,,,,,,,,,,,,,,,,,,,,,,
950583,6642,20-Jun-95 ,171,1315,960.9743,1400,54.43,53.9,592.4,0,22.51,0.53,0.01,0.193,,3.222,2.97,0.252,0,0.13,486,0,7.62,729,243,35.4,9.1,120,48.5,0.81,0.991,0.955,0.036,321,15.7,34.5,94.1,2.5,38.0,15.5,23.4,,,,,,,,,,,,,,,,,,,,,,,
950728,6642,12-Jul-95 ,193,1235,54502.65329,39873,68.65,61.345,,0,,7.3,0.003,0.08,,4.046,3.053,0.993,0,0.01,547,0,8.26,0,0,7300,0,6140,1.43,0.646,0.897,0.775,0.122,38800,1370,449,114,8.6,154.3,18.0,27.3,,,,,,,,,,,,,,,,,,,,,,,
950851,6642,25-Jul-95 ,206,1200,1070.24,1500,61.60,61,,0,,0.602,L0.01!,0,,3.480,3.36,0.12,0,0.14,555,0,7.88,0,0,40.4,0,138,48.3,0.434,0.565,0.53,0.035,353,17.5,31.9,108,5.9,44.4,7.6,7.4,,,,,,,,,,,,,,,,,,,,,,,
951070,6642,14-Aug-95 ,226,1430,948.02,1370,56.73,53.3,,0,,3.43,L0.01!,0.174,,3.523,3.07,0.453,0,0.12,420,0,7.68,0,0,36.6,0,125,27.5,0.068,0.197,0.156,0.041,368,16.1,30,92.7,8.8,215.7,24.4,8.2,,,,,,,,,,,,,,,,,,,,,,,
951246,6642,28-Aug-95 ,240,1415,1022.84,1480,57.96,57.2,500.5,29.64,2.25,0.758,L0.01!,0.105,0,3.344,3.2,0.144,0,0.14,460,24.7,8.58,793.5,333.5,41.4,9.7,133,29.9,0.172,0.257,0.23,0.027,393,17.6,33.3,98.5,6.1,72.4,11.8,4.8,,,,,,,,,,,,,,,,,,,,,,,
951332,6642,12-Sep-95 ,255,1000,,,61.95,61.6,,,,0.354,0.024,0.19,0,3.597,3.55,0.047,0,,,,,,,,,,,0.262,0.314,0.299,0.015,,,,,8.8,60.9,6.9,3.7,,,,,,,,,,,,,,,,,,,,,,,
951819,6642,17-Oct-95 ,290,1350,,,52.37,51.8,,,,0.566,0.082,0.364,0,4.043,3.97,0.073,0,,,,,,,,,,,L0.002!,0.067,0.045,0.022,,,,,9.0,66.3,7.3,4.9,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
950363,Gursky's,31-May-95 ,151,1250,561.3886,895,30.78,28.4,493.7,0,4.23,2.38,0.02,0.255,,2.614,2.35,0.264,0,0.2,405,0,8.26,442.1,37.1,15.8,6.4,70.5,26.3,0.647,0.771,0.728,0.043,81.5,13,50.2,60.8,10.5,142.7,13.6,8.9,,,,,,,,,,,,,,,,,,,,,,,
950587,Gursky's,20-Jun-95 ,171,1350,584.43056,951,32.29,29.1,526.6,0,15.51,3.19,0.192,2.06,0.01,3.601,3.21,0.391,0,0.18,432,0,7.73,451.1,19.1,16,6.3,71.9,28.6,0.891,1.03,0.995,0.035,80.3,13.6,51.7,62.1,9.5,235.0,24.7,18.6,,,,,,,,,,,,,,,,,,,,,,,
950732,Gursky's,12-Jul-95 ,193,1550,7330.1,7780,37.05,30.226,,0,,6.82,L0.01!,0.052,,2.975,2.042,0.933,0,0.1,676,0,7.71,0,0,652,0,912,19.4,0.811,0.976,0.871,0.105,4772,150,178,241,8.5,167.5,19.6,42.1,,,,,,,,,,,,,,,,,,,,,,,
950854,Gursky's,25-Jul-95 ,206,1130,603.46531,966,38.53,31.4,,0,,7.13,0.017,0,,3.830,2.42,1.41,0,0.09,444,0,8.03,0,0,16.8,0,74.8,32.9,0.81,1.04,0.913,0.127,80.6,13.9,53.3,64.6,5.9,144.8,24.6,38.1,,,,,,,,,,,,,,,,,,,,,,,
951073,Gursky's,14-Aug-95 ,226,1700,542.01847,1004,45.30,32,,0,,13.3,0.029,0.159,,5.080,2.48,2.6,0,0.19,424,0,7.93,0,0,15.8,0,74.4,30.2,0.654,0.954,0.688,0.266,88.9,13.9,G55,64.1,6.0,128.9,21.6,163.2,,,,,,,,,,,,,,,,,,,,,,,
951247,Gursky's,28-Aug-95 ,240,1500,538.99,974,44.10,29.6,505.9,20.4,4.07,14.5,L0.01!,0.038,0,4.820,2.39,2.43,0,0.19,449,17,8.32,453.4,4.4,15.8,6.2,72.4,30.9,0.349,1.02,0.692,0.328,74.2,13.9,G55,62.2,7.0,114.0,16.4,162.1,,,,,,,,,,,,,,,,,,,,,,,
951340,Gursky's,12-Sep-95 ,255,1440,,,50.50,31.1,,,,19.4,L0.01!,0.022,0,5.410,2.27,3.14,0,,,,,,,,,,,0.636,1.01,0.69,0.320,,,,,7.2,156.3,21.7,141.9,,,,,,,,,,,,,,,,,,,,,,,
951827,Gursky's,17-Oct-95 ,290,1415,,,42.10,27.4,,,,14.7,L0.01!,0.018,0,4.100,2.32,1.78,0,,,,,,,,,,,0.543,0.858,0.583,0.275,,,,,9.6,137.8,14.3,116.1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In this table values are as reported in the Database,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
