DATA table Built from table WEVS_96 on 27-FEB-97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample,Station,Date,Julian,Time,TDS,Cond.,TOC,DOC,HCO3,CO3 ,Free CO2 ,POC ,NO3+NO2 ,NH3-tot  ,NH3(un-ion ,TN ,DN ,PN ,OH ,F-diss  ,Alk-tot  ,Alk-p ,pH ,Hard-tot ,Hard-nonCO3 ,Na-diss ,%Na ,Mg-diss ,SiO2 ,P-diss ortho ,P-tot  ,P-diss ,P-part ,SO4-diss ,Cl-diss ,K-diss ,Ca-diss ,PC:PN,PC:PP,PN:PP,Chl a,,,,,,,,,,,,,,
,,,Days,,mg/L,usie/cm,mg/L,mg/L, mg/L, mg/L, mg/L, mg/L, mg/L, mg/L, mg/L, mg/L, mg/L, mg/L, mg/L, mg/L, mg/L, mg/L, pH units, mg/L, mg/L, mg/L,, mg/L, mg/L, mg/L, mg/L, mg/L, mg/L, mg/L, mg/L, mg/L, mg/L,,,,mg/L,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
960508,25,10-Jun-96 ,162,1600,677.00,1030.00,27.59,24.60,295.00,0.00,12.01,2.99,0.01,0.80,0.01,2.48,2.18,0.30,0.00,0.10,242.00,0.00,7.59,460.70,218.70,35.60,13.20,72.90,17.90,0.47,1.30,1.28,0.020,292.00,10.50,38.30,64.30,11.628,385.835,33.182,5.83,,,,,,,,,,,,,,
960812,25,09-Jul-96 ,191,1500,845.00,1215.00,30.03,26.30,336.40,0.00,13.08,3.73,0.01,1.98,0.01,3.44,3.01,0.43,0.00,0.09,276.00,0.00,7.61,557.20,281.20,45.00,13.80,89.50,24.30,0.65,0.76,0.70,0.056,391.00,11.00,42.90,75.60,10.215,171.902,16.828,1.7,,,,,,,,,,,,,,
961093,25,13-Aug-96 ,226,1410,974.00,1436.00,30.36,30.00,434.00,0.00,12.49,0.36,0.06,2.20,0.01,3.17,3.11,0.06,0.00,0.05,356.00,0.00,7.74,670.70,314.70,56.50,14.30,109.00,29.80,0.66,0.68,0.68,0.004,410.00,13.60,52.60,88.90,7.039,233.565,33.182,2.26,,,,,,,,,,,,,,
961460,25,18-Sep-96 ,262,1315,1148.00,1632.00,30.12,29.50,483.90,0.00,6.32,0.62,0.22,0.14,0.01,2.09,2.01,0.08,0.00,0.07,397.00,0.00,8.08,776.40,379.40,65.60,14.30,128.00,19.00,0.20,0.25,0.23,0.020,520.00,15.70,60.60,99.90,8.757,80.393,9.180,15.71,,,,,,,,,,,,,,
961605,25,15-Oct-96 ,289,1415,1226.00,1689.00,29.84,29.50,494.90,0.00,5.00,0.34,0.04,0.07,0.00,1.86,1.84,0.02,0.00,0.12,406.00,0.00,8.19,813.00,407.00,67.90,14.20,135.00,6.34,0.10,0.16,0.15,0.006,591.00,16.00,62.60,103.00,18.889,146.247,7.743,2.52,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
960350,37,09-May-96 ,130,1400,86.00,152.00,15.71,15.10,75.70,0.00,3.62,0.61,L0.010,0.01,0.00,1.02,0.92,0.10,0.00,0.02,62.10,0.00,7.52,55.30,0.00,0.30,0.90,6.16,6.69,0.05,0.10,0.09,0.008,6.10,2.57,15.10,12.00,7.361,197.434,26.822,,,,,,,,,,,,,,,
960510,37,10-Jun-96 ,162,1700,111.00,195.00,20.86,19.40,90.80,0.00,6.74,1.46,L0.010,0.08,0.00,1.44,1.24,0.20,0.00,0.06,74.50,0.00,7.33,76.60,2.10,0.24,0.50,9.57,15.10,0.01,0.09,0.05,0.039,5.30,2.79,18.40,14.90,8.474,96.616,11.401,12.98,,,,,,,,,,,,,,
960813,37,09-Jul-96 ,191,1530,163.00,257.00,27.54,21.00,147.50,0.00,8.69,6.54,L0.010,0.01,0.00,2.44,1.51,0.93,0.00,0.06,121.00,0.00,7.43,108.30,0.00,0.31,0.50,12.90,24.00,0.08,0.20,0.13,0.066,5.80,3.38,21.70,22.10,8.213,255.737,31.138,5.44,,,,,,,,,,,,,,
961095,37,13-Aug-96 ,226,1455,223.00,358.00,24.72,23.90,217.00,0.00,10.39,0.82,L0.010,0.09,0.00,1.70,1.58,0.12,0.00,0.03,178.00,0.00,7.52,160.70,0.00,0.22,0.20,17.80,27.80,0.17,0.26,0.24,0.018,5.20,2.34,27.90,35.00,8.299,117.285,14.133,115.55,,,,,,,,,,,,,,
