WEVS 1993 Data Summary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample,Pond I.D.,Date,Julian,Time,TDS,Cond.,TOC,DOC,HCO3,CO3 ,Free CO2 ,POC ,NO3+NO2 ,NH3-tot  ,NH3(un-ion ,TN ,DN ,PN ,OH ,F-diss  ,Alk-tot  ,Alk-p ,pH ,Hard-tot ,Hard-nonCO3 ,Na-diss ,%Na ,Mg-diss ,SiO2 ,P-diss ortho ,P-tot  ,P-diss ,P-part ,SO4-diss ,Cl-diss ,K-diss ,Ca-diss ,PC:PN,PC:PP,PN:PP,Chl a,
,,,Days,,mg/L,usie/cm,mg/L,mg/L, mg/L, mg/L, mg/L, mg/L, mg/L, mg/L, mg/L, mg/L, mg/L, mg/L, mg/L, mg/L, mg/L, mg/L, pH units, mg/L, mg/L, mg/L,, mg/L, mg/L, mg/L, mg/L, mg/L, mg/L, mg/L, mg/L, mg/L, mg/L,,,,mg/L,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
930241,1B,29-Apr-93 ,113,1330,1254 ,1660,20.89,19.9,168.2,0,9.69,0.989,L0.01,0.039,0,0.49 ,0.324 ,0.161 ,0,0.07,138,0,7.44,852.2,714.2,35.9,7.8,133,9.8,0.006,0.073,0.039,0.034,801,16.9,52.2,122,7.2,75.0,10.5,,
930317,1B,13-May-93 ,133,1200,1476 ,1905,22.59,22.4,201.1,0,5.92,0.192,L0.01,0.066,0,0.96 ,0.920 ,0.039 ,0,0.09,165,0,7.73,999.3,834.3,40.8,7.6,156,11.37,0.048,0.108,0.084,0.024,947,19.1,59.7,143,5.7,20.6,3.6,2.08,
930412,1B,27-May-93 ,147,1220,1585 ,2044,23.51,23.3,206,0,3.4,0.209,L0.01,0.059,0,1.11 ,1.07,0.038 ,0,0.1,169,0,7.98,1100.8,931.8,44.7,7.6,177,8.49,0.021,0.12,0.06,0.06,1022,19.7,63.6,149,6.4,9.0,1.4,1.55,
930503,1B,09-Jun-93 ,160,1218,1468 ,2097,25.99,25.6,,,,0.39,L0.01,0.046,,1.24 ,1.17,0.070 ,,0.13,277,12,8.58,,,48.7,,189,1.96,L0.002,0.061,0.048,0.013,1011,20.5,70.5,147,6.5,77.4,11.9,2.74,
930723,1B,23-Jun-93 ,174,1430,1722 ,2130,26.4,26.1,141.4,0,1.1,0.3,L0.01,0.053,0,1.14 ,1.09,0.050 ,0,0.08,116,0,8.3,1188.8,1072.8,52.8,8.2,199,2.19,0.011,0.069,0.057,0.012,1155,21.3,73.9,148,7.0,64.5,9.2,11.6,
930761,1B,08-Jul-93 ,189,1420,1570 ,2020,24.78,23.6,118.2,4.8,0.4,1.18,L0.01,0.062,0.01,1.34 ,1.1,0.241 ,0,0.08,105,4,8.68,1061.6,956.6,47.9,8.3,179,0.67,L0.002,0.092,0.043,0.049,1064,17.8,66.8,130,5.7,62.1,10.9,23.7,
930945,1B,22-Jul-93 ,203,1800,1633 ,2055,27.61,26.1,149.9,0,1.74,1.51,L0.01,0.05,0,1.42 ,1.11,0.309 ,0,0.08,123,0,8.13,1112.1,989.1,51.3,8.5,184,2.11,L0.002,0.067,0.038,0.029,1087,18.9,73.7,142,5.7,134.3,23.6,32.4,
930985,1B,04-Aug-93 ,216,1245,1655 ,2160,28,27.1,149.9,0,3.67,0.903,L0.01,0.079,0,1.51 ,1.32,0.189 ,0,0.09,123,0,7.81,1164.9,1041.9,66.9,10.4,195,1.4,L0.002,0.068,0.042,0.026,1078,23.2,72.5,145,5.6,89.6,16.1,23.8,
931288,1B,18-Aug-93 ,230,1629,1723 ,2153,28.24,28.1,121.9,2.4,0.62,0.139,L0.01,,,1.18 ,1.15,0.027 ,0,0.1,104,2,8.5,1173,1069,55.4,8.7,200,0.38,L0.002,0.047,0.041,0.006,1180,17.8,66.7,140,6.0,59.7,10.0,1.62,
931366,1B,27-Aug-93 ,239,1432,1775 ,2199,26.37,25.9,128,0,4.04,0.465,L0.01,,,0.49 ,0.412 ,0.074 ,0,0.09,105,0,7.7,1190.3,1085.3,60.2,9.3,203,1.13,0.006,0.056,0.044,0.012,1212,19.9,72.6,142,7.3,99.9,13.6,6.02,
931473,1B,15-Sep-93 ,258,1200,1731 ,2178,25.22,25,141.4,0,1.98,0.222,L0.01,0.03,0,0.39 ,0.351 ,0.037 ,0,0.09,116,0,8.05,1163.1,1047.1,52.5,8.4,197,0.99,L0.002,0.043,0.036,0.007,1182,19.8,67.8,141,7.0,81.8,11.7,19.8,
931706,1B,14-Oct-93 ,287,1500,1920 ,3194,25.72,25.4,157.3,0,1.74,0.322,L0.01,0.054,0,0.98 ,0.940 ,0.039 ,0,0.09,129,0,8.15,1229.4,1100.4,60.1,9,204,0.36,L0.002,0.041,0.03,0.011,1330,22.5,69.6,156,9.6,75.5,7.8,3.93,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
931701,20,14-Oct-93 ,287,1120,1096 ,1619,28.86,28.4,587.6,0,7.67,0.461,L0.010,0.057,0,0.96 ,0.900 ,0.062 ,0,0.1,482,0,8.08,827,345,65.4,14.3,164,5.67,0.003,0.085,0.037,0.048,473,16.7,21,60.8,8.7,24.8,2.9,4.74,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
930231,25,29-Apr-93 ,113,1030,813 ,1178,23.48,22.8,195,0,9.78,0.68,L0.01,0.042,0,0.50 ,0.406 ,0.094 ,0,0.09,160,0,7.5,520.9,360.9,32.1,10.6,83.1,18.66,0.101,0.194,0.173,0.021,445,15.4,51.2,71.6,8.4,83.5,9.9,,
930319,25,13-May-93 ,133,1300,1001 ,1367,27.4,27,284,0,11.57,0.399,L0.01,0.067,0,1.04 ,0.970 ,0.069 ,0,0.11,233,0,7.59,651.5,418.5,38.1,10.2,103,24.99,0.336,0.417,0.381,0.036,524,17.7,62.2,91.1,6.7,28.6,4.2,2.68,
930407,25,27-May-93 ,147,1345,1040 ,1504,28.16,28,337.7,0,12.54,0.157,L0.01,0.076,0,1.24 ,1.22,0.021 ,0,0.11,277,0,7.63,686.8,409.8,42,10.6,110,21.9,0.312,0.39,0.38,0.01,518,19.4,68.7,93.7,8.7,40.5,4.6,2.47,
930509,25,10-Jun-93 ,160,1610,1223 ,1672,32.31,32,363.3,0,17,0.314,L0.01,0.073,0,1.34 ,1.29,0.048 ,0,0.13,298,0,7.53,792.5,494.5,52.1,11.2,127,19.02,0.321,0.56,0.401,0.159,637,21.5,80,108,7.6,5.1,0.7,2.03,
930721,25,25-Jun-93 ,174,1350,1282 ,1700,32.21,30,395,0,4.81,2.21,L0.01,0.045,0,1.34 ,1.12,0.224 ,0,0.11,324,0,8.11,848.7,524.7,56,11.3,137,13.56,0.259,0.371,0.341,0.03,663,22.2,81.7,114,11.5,190.0,16.5,1.49,
930768,25,07-Jul-93 ,189,1735,1114 ,1540,26.38,26,298.9,13.08,1.51,0.378,L0.01,0.043,0,1.08 ,1.03,0.052 ,0,0.1,267,10.9,8.52,741,474,48.2,11.3,120,9.2,0.161,0.237,0.23,0.007,595,16.3,66.1,98.9,8.5,139.3,16.4,1.82,
930937,25,21-Jul-93 ,202,1310,1223 ,1634,28.08,27.8,346.2,0,9.29,0.277,L0.01,0.043,0,1.08 ,1.03,0.054 ,0,0.11,284,0,7.77,813.4,529.4,56.7,12.1,126,11.67,0.076,0.155,0.137,0.018,661,12.6,66.1,118,6.0,39.7,6.6,3.47,
930989,25,05-Aug-93 ,216,1440,1254 ,1774,29.67,29.2,351.1,0,4.48,0.471,L0.01,0.058,0,1.30 ,1.21,0.092 ,0,0.1,288,0,8.09,823.9,535.9,60,12.5,134,0.24,0.013,0.1,0.078,0.022,692,14.7,71.7,109,6.0,55.2,9.2,3.28,
931286,25,19-Aug-93 ,230,1510,1226 ,1701,29.66,29.5,353.5,0,17.32,0.161,L0.01,,,1.18 ,1.15,0.028 ,0,0.11,290,0,7.51,791.9,501.9,59.9,12.9,132,0.8,0.035,0.11,0.102,0.008,672,15,72.1,99.5,6.7,51.9,7.7,3.19,
931367,25,27-Aug-93 ,239,1522,1289 ,1796,29.52,29.3,340.1,0,9.79,0.219,L0.01,,,0.50 ,0.469 ,0.033 ,0,0.12,279,0,7.74,822.6,543.6,61.2,12.6,140,0.85,0.015,0.082,0.074,0.008,725,18.2,76.3,98.6,7.7,70.6,9.1,3.3,
931474,25,15-Sep-93 ,258,1201,1165 ,2208,6.39,6.17,299.9,0,5.06,0.221,L0.01,0.015,0,0.47 ,0.437 ,0.033 ,0,0.1,246,0,7.97,730.1,484.1,56.8,13.1,127,0.3,0.005,0.06,0.053,0.007,660,17.3,72.9,83,7.8,81.4,10.4,15.79,
931704,25,14-Oct-93 ,287,1345,1254 ,1980,27.91,27.4,320.6,0,8.03,0.506,L0.01,0.03,0,1.01 ,0.980 ,0.031 ,0,0.08,263,0,7.8,799.1,536.1,70.8,14.7,142,0.26,0.004,0.052,0.047,0.005,704,20.7,72.4,85.9,19.0,261.0,13.7,2.19,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
930233,37,29-Apr-93 ,113,1110,802 ,1154,45.31,45,377.9,0,19.85,0.308,L0.01,0.066,0,0.54 ,0.494 ,0.047 ,0,0.07,310,0,7.48,585.5,275.5,19.6,6.3,65.8,41.94,1.5,1.74,1.73,0.01,303,18,41.3,126,7.6,79.4,10.4,,
930321,37,13-May-93 ,133,1400,1330 ,1720,66.49,65,609.5,0,14.91,1.49,L0.01,0.137,0,2.19 ,2.020 ,0.167 ,0,0.09,500,0,7.81,923,423,37,7.5,112,28.04,2.854,3.154,3.041,0.113,575,32.5,60.6,185,10.4,34.0,3.3,7.99,
930408,37,27-May-93 ,147,1430,481 ,815,121.55,115.5,434,0,64.38,6.05,0.015,1.02,0,5.27 ,4.43,0.839 ,0,0.14,356,0,7.03,330.8,0,3.29,1.6,34.2,28.03,0.648,1.238,1.035,0.203,19.4,22.7,83.8,76.1,8.4,76.9,9.1,58.83,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
930236,50,29-Apr-93 ,113,1200,1245 ,1688,30.95,30.5,230.4,0,17.51,0.453,L0.01,0.071,0,0.42 ,0.359 ,0.062 ,0,0.11,189,0,7.32,696.6,507.6,96.2,21.3,94.6,21.98,0.003,0.163,0.072,0.091,687,47.5,61.5,123,8.5,12.8,1.5,,
930324,50,13-May-93 ,133,1445,2144 ,2830,42.63,41.6,387.6,0,23.38,1.03,L0.01,0.13,0,1.61 ,1.410 ,0.202 ,0,0.1,318,0,7.42,1271,953,165,20.5,205,30.56,0.164,0.365,0.316,0.049,1220,66.9,94,171,5.9,54.2,9.1,1.96,
930409,50,27-May-93 ,147,1540,2688 ,3480,56.53,55,564.4,0,32.51,1.53,L0.01,0.153,0,2.25 ,2.05,0.199 ,0,0.14,463,0,7.44,1563.3,1100.3,222,22,276,29.91,0.3,0.527,0.506,0.021,1503,88.1,120,171,9.0,187.9,21.0,1.62,
930510,50,10-Jun-93 ,161,1725,3999 ,4738,59.57,58.4,721.6,0,42.54,1.17,L0.01,0.134,0,2.39 ,2.2,0.193 ,0,0.12,592,0,7.43,2271.1,1679.1,347,23.3,400,9.55,0.129,0.339,0.303,0.036,2346,122,169,250,7.1,83.8,11.9,2.75,
930722,50,23-Jun-93 ,174,1410,4841 ,5270,60.35,59.6,709.5,0,37.26,0.749,L0.01,0.106,0,1.85 ,1.73,0.118 ,0,0.09,582,0,7.48,2732.4,2150.4,413,23.3,506,4.63,0.097,0.269,0.235,0.034,3008,121,179,260,7.4,56.8,7.7,7.97,
930767,50,08-Jul-93 ,189,1715,2760 ,3350,41.09,39.4,348.6,0,20.55,1.69,L0.01,0.056,0,1.55 ,1.3,0.251 ,0,0.07,286,0,7.43,1612.2,1326.2,222,21.9,300,8.32,L0.002,0.096,0.066,0.03,1763,58.2,86,151,7.9,145.3,18.5,13.49,
930938,50,21-Jul-93 ,202,1345,3500 ,4122,44.91,44.2,448.6,0,41.96,0.713,L0.01,0.063,0,1.51 ,1.35,0.157 ,0,0.09,368,0,7.23,2065.4,1697.4,282,21.8,384,12.4,0.008,0.116,0.076,0.04,2233,70.4,104,194,5.3,46.0,8.7,27.3,
930990,50,04-Aug-93 ,216,1500,4198 ,4743,47.57,46.8,579,0,39.21,0.772,L0.01,0.113,0,1.81 ,1.67,0.141 ,0,0.09,475,0,7.37,2432.3,1957.3,343,22.3,461,21.09,0.054,0.181,0.153,0.028,2661,86.4,127,214,6.4,71.1,11.1,12.6,
931287,50,14-Aug-93 ,230,1542,3658 ,4318,44.12,43.6,533.9,0,45.54,0.52,L0.01,,,1.45 ,1.36,0.094 ,0,0.1,438,0,7.27,2110.4,1672.4,315,23.3,401,14.25,0.317,0.436,0.419,0.017,2262,85.9,119,184,6.5,78.9,12.2,5.56,
931368,50,27-Aug-93 ,239,1552,3904 ,4598,44.2,43.2,558.3,0,29.32,0.998,L0.01,,,0.59 ,0.428 ,0.159 ,0,0.11,458,0,7.48,2189.5,1731.5,338,23.8,419,14.09,0.344,0.503,0.49,0.013,2428,98.8,131,186,7.3,198.0,27.0,13.9,
931475,50,15-Sep-93 ,258,1202,3275 ,6202,44.88,44,476.6,0,44.58,0.883,L0.01,0.059,0,0.56 ,0.434 ,0.122 ,0,0.08,391,0,7.23,1822,1431,293,24.4,354,7.13,0.667,0.867,0.807,0.06,2018,102.6,120,146,8.4,38.0,4.5,10.08,
931705,50,14-Oct-93 ,287,1430,4829 ,7410,50.86,50.2,647.3,0,45.9,0.657,L0.01,0.173,0,1.35 ,1.250 ,0.104 ,0,0.1,531,0,7.35,2710.5,2179.5,427,24.2,531,18,0.822,0.977,0.964,0.013,3030,131,163,210,7.4,130.3,17.7,8,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
930237,60,29-Apr-93 ,113,1215,206 ,322,37.34,34.5,174.3,0,27.08,2.84,L0.01,0.038,0,1.06 ,0.499 ,0.562 ,0,0.04,143,0,7.01,119.1,0,6.14,7.7,10.6,30.45,0.16,0.32,0.289,0.031,6.8,5.2,31.3,30.2,5.9,236.3,40.1,,
930325,60,13-May-93 ,133,1515,247 ,405,45.73,36.2,202.4,0,17.26,9.53,L0.01,0.045,0,2.63 ,1.410 ,1.220 ,0,0.02,166,0,7.27,154.5,0,0.86,0.9,14.6,45.82,0.71,1.064,0.88,0.184,1.8,6.8,39.3,37.8,9.1,133.6,14.7,9.08,
930414,60,27-May-93 ,147,1620,260 ,438,52.32,43.8,210.9,0,43.2,8.52,L0.01,0.213,0,3.56 ,2.48,1.080 ,0,0.08,173,0,6.89,155.8,0,2.22,2.2,15.1,35.52,1.28,1.857,1.492,0.365,11,9.1,45.5,37.5,9.2,60.2,6.5,59.29,
930769,60,08-Jul-93 ,189,1805,114 ,222,37.22,30.6,103.1,0,48.43,6.62,L0.01,0.087,0,2.85 ,1.59,1.260 ,0,0.04,84.6,0,6.53,75.6,0,L.4,0.8,7.15,1.73,0.647,1.544,0.87,0.674,9.3,4.42,21.2,18.5,6.1,25.3,4.1,274.2,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
930234,65,29-Apr-93 ,119,1145,1989 ,2581,22.2,21.8,396.2,4.2,10.62,0.397,L0.01,0.035,0,0.35 ,0.292 ,0.062 ,0,0.04,332,0,7.78,1165.9,833.9,192,25.7,226,5.05,L0.002,0.136,0.035,0.101,1203,36.4,33.5,94.3,7.5,10.1,1.4,,
930322,65,13-May-93 ,133,1415,2431 ,3172,27.08,26.9,530.3,0,10.78,0.184,L0.01,0.086,0,0.93 ,0.900 ,0.029 ,0,0.06,435,0,7.89,1443.2,1008.2,230,25.1,282,5.75,0.024,0.068,0.055,0.013,1455,44,40.2,113,7.4,36.5,4.9,7.96,
930413,65,27-May-93 ,147,1310,2679 ,3416,28.08,27.9,599.7,0,13.38,0.176,L0.01,0.07,0,1.14 ,1.1,0.036 ,0,0.07,492,0,7.85,1628.1,1136.1,254,24.7,316,0.87,0.014,0.094,0.052,0.042,1590,48.3,43.4,131,5.7,10.8,1.9,1.13,
930506,65,09-Jun-93 ,160,1354,3003 ,4081,32.49,32.2,635.1,0,17.45,0.29,L0.01,0.063,0,1.17 ,1.13,0.035 ,0,0.09,521,0,7.76,1775.7,1254.7,298,26.1,347,1.6,0.01,0.074,0.065,0.009,1803,52.3,49.1,139,9.7,83.1,8.6,1.68,
930719,65,23-Jun-93 ,174,1345,3075 ,3710,35.83,35.3,611.9,0,13.03,0.532,L0.01,0.053,0,1.17 ,1.1,0.067 ,0,SusInt,502,0,7.87,1809.4,1307.4,304,26.1,357,7.85,0.01,0.07,0.062,0.008,1865,52.1,52.1,136,9.3,171.5,18.5,4.22,
930764,65,08-Jul-93 ,189,1540,2575 ,3250,28.32,28,532.7,0,7.46,0.317,L0.01,0.053,0,1.07 ,1.01,0.058 ,0,0.05,437,0,8.05,1548,1111,249,25.3,302,8.9,0.006,0.064,0.052,0.012,1544,44.6,42.3,122,6.4,68.1,10.7,2.04,
930941,65,22-Jul-93 ,203,1540,2670 ,3353,31.22,31,541.2,0,11.52,0.22,L0.01,0.04,0,1.06 ,1.03,0.032 ,0,0.06,444,0,7.87,1586,1142,260,25.6,307,9.49,L0.002,0.055,0.046,0.009,1609,44.7,44.6,129,8.0,63.0,7.9,3.38,
930988,65,04-Aug-93 ,216,1345,3054 ,3608,33.42,33,574.9,10.44,8.75,0.418,L0.01,0.055,0,1.39 ,1.31,0.075 ,0,0.05,489,0,8.03,1807.6,1318.6,306,26.3,359,7.74,L0.002,0.055,0.046,0.009,1860,47,48.7,132,6.5,119.8,18.4,2.08,
931285,65,18-Aug-93 ,230,1342,2850 ,3553,33.23,33,604.6,0,0.76,0.226,L0.01,,,1.22 ,1.18,0.043 ,0,0.09,496,0,7.81,1680.6,1184.6,289,26.6,333,2.38,0.008,0.067,0.055,0.012,1713,46.8,44.7,124,6.1,48.6,7.9,1.72,
931369,65,27-Aug-93 ,239,1635,2969 ,6072,33.32,33.1,608.3,0,13.88,0.219,L0.01,,,0.47 ,0.441 ,0.029 ,0,0.07,499,0,7.84,1781.3,1282.3,287,25.3,352,1.94,0.011,0.079,0.058,0.021,1796,48.8,48.4,133,8.8,26.9,3.1,2.89,
931476,65,15-Sep-93 ,258,1203,2879 ,5486,30.25,30,593.7,0,12.35,0.252,L0.01,0.068,0,0.43 ,0.400 ,0.032 ,0,0.06,487,0,7.88,1675.6,1188.6,282,26.2,333,0.97,0.003,0.043,0.037,0.006,1756,47.7,45.1,122,9.2,108.3,11.8,2.76,
931702,65,14-Oct-93 ,287,1230,3157 ,5250,34.07,33.2,635.1,0,9.99,0.873,L0.010,0.074,0,1.06 ,0.920 ,0.144 ,0,0.06,521,0,8,1884.3,1363.3,318,26.3,374,0.73,L0.002,0.042,0.029,0.013,1890,77.7,45.4,138,7.1,173.2,24.5,25,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
930235,66,29-Apr-93 ,119,1150,32417 ,26824,73.68,72,235.3,4.2,1.86,1.68,L0.01,0.145,0,0.55 ,0.282 ,0.265 ,0,SusInt,200,3.5,8.31,15173.6,14973.6,4420,38.4,3500,0.13,0.011,0.178,0.167,0.011,22926,917,228,306,7.4,393.9,53.3,,
930323,66,13-May-93 ,133,1430,47920 ,35715,131.9,113.5,593.9,62.28,3.18,18.4,L0.01,0.285,0.01,6.11 ,3.300 ,2.810 ,0,L.01,591,51.9,8.54,22629.3,22038.3,6480,37.9,5240,1.54,0.044,0.597,0.208,0.389,33782,1264,374,423,7.6,122.0,16.0,2.02,
930415,66,27-May-93 ,147,1700,69415 ,47126,171,157,807,0,11.84,14,L0.01,0.33,0,8.40 ,6.05,2.350 ,0,SusInt,662,0,8.03,33534.6,32872.6,9150,36.8,7830,1.85,0.029,0.443,0.328,0.115,49097,1943,476,520,6.9,313.9,45.2,54.05,
930505,66,09-Jun-93 ,160,1339,34812 ,26779,323.5,307,,,,16.5,0.014,0.5,,4.17 ,1.28,2.890 ,,0.03,732,245,8.73,,,16600,,14100,1.22,0.022,0.756,0.438,0.318,82960,3284,1020,705,6.7,133.8,20.1,91.3,
