WEVS 1993 Data Summary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample,Pond I.D.,Date,Julian,Time,TDS,Cond.,TOC,DOC,HCO3,CO3 ,Free CO2 ,POC ,NO3+NO2 ,NH3-tot  ,NH3(un-ion ,TN ,DN ,PN ,OH ,F-diss  ,Alk-tot  ,Alk-p ,pH ,Hard-tot ,Hard-nonCO3 ,Na-diss ,%Na ,Mg-diss ,SiO2 ,P-diss ortho ,P-tot  ,P-diss ,P-part ,SO4-diss ,Cl-diss ,K-diss ,Ca-diss ,PC:PN,PC:PP,PN:PP,Chl a,
,,,Days,,mg/L,usie/cm,mg/L,mg/L, mg/L, mg/L, mg/L, mg/L, mg/L, mg/L, mg/L, mg/L, mg/L, mg/L, mg/L, mg/L, mg/L, mg/L, pH units, mg/L, mg/L, mg/L,, mg/L, mg/L, mg/L, mg/L, mg/L, mg/L, mg/L, mg/L, mg/L, mg/L,,,,mg/L,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
930986,67,04-Aug-93 ,216,1314,5868 ,6427,61,60,737.5,0,19.8,0.998,L0.01,0.112,0,2.29 ,2.13,0.155 ,0,0.04,605,0,7.84,3507.1,2902.1,532,24.3,716,2.13,0.004,0.087,0.064,0.023,3863,85.8,81.8,224,7.5,111.9,14.9,5.57,
931283,67,18-Aug-93 ,230,1305,5667 ,6115,62.21,60.4,755.8,0,18.07,1.81,L0.01,,,2.34 ,2.07,0.269 ,0,0.07,620,0,7.82,3407.3,2787.3,510,24,696,2.18,0.007,0.123,0.07,0.053,3711,81.3,77.5,217,7.8,88.1,11.2,7.82,
931371,67,27-Aug-93 ,239,1715,6298 ,12482,67.14,65.2,811.9,0,15.04,1.94,L0.01,,,0.87 ,0.605 ,0.269 ,0,0.05,666,0,7.93,3732.9,3066.9,566,24.3,766,2.98,0.014,0.115,0.078,0.037,4154,88.3,86.2,232,8.4,135.2,16.1,2.75,
931478,67,15-Sep-93 ,258,1205,1485 ,1514,26.82,26.3,499.8,0,7.51,0.522,L0.01,0.04,0,0.51 ,0.446 ,0.064 ,0,0.07,410,0,8.02,731.3,321.3,52.7,13,145,8.61,0.002,0.101,0.038,0.063,917,????g33,28.6,53.8,9.5,21.4,2.2,,
931710,67,14-Oct-93 ,287,1100,6463 ,12150,68.57,68.2,863.1,0,14.23,0.368,L0.01,0.048,0,1.62 ,1.560 ,0.059 ,0,0.01,708,0,7.98,3861.2,3153.2,604,25,876,1.21,0.004,0.051,0.044,0.007,4273,112,69.6,102,7.3,135.6,18.6,4.26,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
930238,86,29-Apr-93 ,119,1250,150 ,255,15.21,14.9,130.4,0,11.38,0.31,L0.01,0.02,0,0.34 ,0.289 ,0.046 ,0,0.05,107,0,7.26,105.3,0,2.71,4.5,9.51,14.88,0.149,0.221,0.216,0.005,11.6,3.5,16.5,26.5,7.9,159.9,20.3,,
930327,86,13-May-93 ,133,1545,181 ,336,17.99,17.1,169.4,0,7.4,0.89,L0.01,0.034,0,0.82 ,0.630 ,0.193 ,0,0.07,139,0,7.56,142.5,3.5,1.18,1.5,14.9,18.39,0.234,0.356,0.317,0.039,8.7,4.1,18.6,32.5,5.4,58.8,10.9,4.63,
930406,86,27-May-93 ,147,1250,191 ,327,19.34,18.8,191.4,0,24.72,0.541,L0.01,0.042,0,0.87 ,0.79,0.078 ,0,0.08,157,0,7.09,139.1,0,1.89,2.4,13.9,16.95,0.26,0.393,0.347,0.046,7.7,3.5,19.7,32.8,8.1,30.3,3.7,8.71,
930508,86,09-Jun-93 ,160,1532,189 ,361,25.89,24,192.6,0,46.36,1.89,L0.01,0.045,0,1.26 ,0.97,0.293 ,0,0.09,158,0,6.82,144.3,0,1.66,2,16,13.45,0.432,0.773,0.581,0.192,5.2,4.08,22.6,31.4,7.5,25.4,3.4,9.7,
930717,86,23-Jun-93 ,174,1203,190 ,333,25.83,25.1,187.7,0,18.39,0.731,L0.01,0.118,0,1.22 ,1.1,0.115 ,0,0.09,154,0,7.21,141.3,0,1.27,1.6,15.7,11.75,1,1.34,1.22,0.12,9.1,4.67,24.4,30.7,7.4,15.7,2.1,4.26,
930766,86,08-Jul-93 ,189,1630,179 ,314,18.19,17.1,182.9,0,28.4,1.09,L0.01,0.026,0,0.93 ,0.75,0.175 ,0,0.06,150,0,7.01,137.2,0,2.19,2.9,14.4,9.93,0.497,0.844,0.651,0.193,8.4,3.18,19.1,31.2,7.3,14.6,2.0,10.8,
930940,86,22-Jul-93 ,203,1505,182 ,346,20.22,17.6,190.2,0,30.94,2.62,L0.01,0.024,0,1.15 ,0.71,0.441 ,0,0.07,156,0,6.99,145.2,0,1.31,1.7,15.2,10.52,0.417,0.838,0.517,0.321,6.6,2,19,33.1,6.9,21.0,3.0,53.4,
