"","Pond","Analyzing_date","Date","THg_ug.kg"
"132","97/98",2023-08-09,2021-05-19,40.6013
"133","97/98",2023-08-09,2021-05-19,24.127
"134","125",2023-08-09,2021-05-19,21.2609
"135","125",2023-08-09,2021-05-19,27.47
"136","125",2023-08-09,2021-05-19,31.487
"137","125",2023-08-09,2021-05-19,24.2382
"138","125",2023-08-09,2021-05-19,15.549
"139","125",2023-08-09,2021-05-19,9.9529
"140","37",2023-08-09,2021-05-19,46.4626
"141","37",2023-08-09,2021-05-19,46.0581
"142","37",2023-08-09,2021-05-19,44.1514
"143","37",2023-08-09,2021-05-19,53.5033
"144","37",2023-08-09,2021-05-19,49.2925
"145","37",2023-08-09,2021-05-19,50.0294
"146","15",2023-08-09,2021-05-19,33.8702
"147","15",2023-08-09,2021-05-19,14.7845
"148","15",2023-08-09,2021-05-19,9.089
"149","15",2023-08-10,2021-05-19,22.004
"150","15",2023-08-10,2021-05-19,17.9932
"151","15",2023-08-10,2021-05-19,21.0995
"152","2",2023-08-10,2021-05-19,62.5937
"153","2",2023-08-10,2021-05-19,61.0555
"154","2",2023-08-10,2021-05-19,63.7589
"155","2",2023-08-10,2021-05-19,71.0311
"156","2",2023-08-10,2021-05-19,38.0132
"157","2",2023-08-10,2021-05-19,54.5656
"158","25",2023-08-10,2021-05-19,35.9407
"159","25",2023-08-10,2021-05-19,36.955
"160","25",2023-08-10,2021-05-19,35.5218
"161","25",2023-08-10,2021-05-19,33.0035
"162","25",2023-08-10,2021-05-19,21.6
"163","25",2023-08-10,2021-05-19,28.2749
"164","25",2023-08-10,2021-09-01,56.8153
"165","25",2023-08-10,2021-09-01,58.0815
"166","25",2023-08-10,2021-09-01,56.4899
"167","25",2023-08-10,2021-09-01,82.6595
"168","25",2023-08-10,2021-09-01,32.4443
"169","25",2023-08-10,2021-09-01,18.0162
"170","15",2023-08-10,2021-09-01,28.2465
"171","15",2023-08-10,2021-09-01,27.1935
"172","15",2023-08-10,2021-09-01,32.4165
"173","15",2023-08-10,2021-09-01,39.0979
"174","15",2023-08-10,2021-09-01,47.384
"175","15",2023-08-10,2021-09-01,25.0219
"176","15",2023-08-11,2021-09-19,35.8931
"177","15",2023-08-11,2021-09-19,34.2364
"178","15",2023-08-11,2021-09-19,37.8801
"179","15",2023-08-11,2021-09-19,33.7404
"180","15",2023-08-11,2021-09-19,55.7854
"181","15",2023-08-11,2021-09-19,44.3867
"182","125",2023-08-11,2021-09-19,51.209
"183","125",2023-08-11,2021-09-19,52.657
"184","125",2023-08-11,2021-09-19,50.0428
"185","125",2023-08-11,2021-09-19,31.1488
"186","125",2023-08-11,2021-09-19,32.6386
"187","125",2023-08-11,2021-09-19,48.2682
"188","25",2023-08-11,2021-09-19,53.4382
"189","25",2023-08-11,2021-09-19,56.4533
"190","25",2023-08-11,2021-09-19,58.3597
"191","25",2023-08-11,2021-09-19,53.0817
"192","25",2023-08-11,2021-09-19,27.5797
"193","25",2023-08-11,2021-09-19,25.3195
"194","109",2023-08-11,2021-09-19,100.4046
"195","109",2023-08-11,2021-09-19,51.6936
"196","109",2023-08-11,2021-09-19,63.751
"197","124",2023-08-17,2021-09-19,55.9326
"198","124",2023-08-17,2021-09-19,54.7607
"199","124",2023-08-17,2021-09-19,54.0149
"200","97/98",2023-08-17,2021-09-19,81.2002
"201","97/98",2023-08-17,2021-09-19,81.2087
"202","97/98",2023-08-17,2021-09-19,83.5475
"203","35",2023-08-17,2021-09-19,46.4598
"204","35",2023-08-17,2021-09-19,47.8226
"205","35",2023-08-17,2021-09-19,46.8172
"206","35",2023-08-17,2021-09-01,52.284
"207","35",2023-08-17,2021-09-01,49.7924
"208","35",2023-08-17,2021-09-01,58.3236
"209","109",2023-08-17,2021-09-01,84.7236
"210","109",2023-08-17,2021-09-01,85.8825
"211","109",2023-08-17,2021-09-01,84.2346
"212","124",2023-08-17,2021-09-01,60.2828
"213","124",2023-08-17,2021-09-01,64.9228
"214","124",2023-08-17,2021-09-01,63.8756
"215","97/98",2023-08-18,2021-09-01,79.4454
"216","97/98",2023-08-18,2021-09-01,79.3593
