"","Depth_cm","Pond","Date","Depth_cm_sum","CharacteristicID","ResultValue"
"98","22-26",109,2023-07-28,-22,"Th_ppm","BDL"
"99","22-26",109,2023-07-28,-22,"U_ppm","BDL"
"100","12-14",125,2023-07-28,-12,"Be_ppm","BDL"
"101","12-14",125,2023-07-28,-12,"B_ppm","BDL"
"102","12-14",125,2023-07-28,-12,"Al_ppm","BDL"
"103","12-14",125,2023-07-28,-12,"Li_ppm","BDL"
"104","12-14",125,2023-07-28,-12,"Ga_ppm","BDL"
"105","12-14",125,2023-07-28,-12,"Na_ppm","BDL"
"106","12-14",125,2023-07-28,-12,"Mg_ppm","BDL"
"107","12-14",125,2023-07-28,-12,"K_ppm","BDL"
"108","12-14",125,2023-07-28,-12,"Ti_ppm","BDL"
"109","12-14",125,2023-07-28,-12,"Si_ppm","BDL"
"110","12-14",125,2023-07-28,-12,"Ca_ppm","BDL"
"111","12-14",125,2023-07-28,-12,"Fe_ppm","BDL"
"112","12-14",125,2023-07-28,-12,"V_ppm","BDL"
"113","12-14",125,2023-07-28,-12,"Cr_ppm","BDL"
"114","12-14",125,2023-07-28,-12,"Mn_ppm","BDL"
"115","12-14",125,2023-07-28,-12,"Co_ppm","BDL"
"116","12-14",125,2023-07-28,-12,"Ni_ppm","BDL"
"117","12-14",125,2023-07-28,-12,"Cu_ppm","BDL"
"118","12-14",125,2023-07-28,-12,"Zn_ppm","BDL"
"119","12-14",125,2023-07-28,-12,"Rb_ppm","BDL"
"120","12-14",125,2023-07-28,-12,"Sr_ppm","BDL"
"121","12-14",125,2023-07-28,-12,"P_ppm","BDL"
"122","12-14",125,2023-07-28,-12,"S_ppm","BDL"
"123","12-14",125,2023-07-28,-12,"As_ppm","BDL"
"124","12-14",125,2023-07-28,-12,"Se_ppm","BDL"
"125","12-14",125,2023-07-28,-12,"Mo_ppm","BDL"
"126","12-14",125,2023-07-28,-12,"Cd_ppm","BDL"
"127","12-14",125,2023-07-28,-12,"Cs_ppm","BDL"
"128","12-14",125,2023-07-28,-12,"Ba_ppm","BDL"
"129","12-14",125,2023-07-28,-12,"Ce_ppm","BDL"
"130","12-14",125,2023-07-28,-12,"Pb_ppm","BDL"
"131","12-14",125,2023-07-28,-12,"Th_ppm","BDL"
"132","12-14",125,2023-07-28,-12,"U_ppm","BDL"
"133","12-14",1,2023-07-28,-12,"Be_ppm",""
"134","12-14",1,2023-07-28,-12,"B_ppm",""
"135","12-14",1,2023-07-28,-12,"Al_ppm",""
"136","12-14",1,2023-07-28,-12,"Li_ppm",""
"137","12-14",1,2023-07-28,-12,"Ga_ppm","BDL"
"138","12-14",1,2023-07-28,-12,"Na_ppm",""
"139","12-14",1,2023-07-28,-12,"Mg_ppm",""
"140","12-14",1,2023-07-28,-12,"K_ppm",""
"141","12-14",1,2023-07-28,-12,"Ti_ppm","BDL"
"142","12-14",1,2023-07-28,-12,"Si_ppm","BDL"
"143","12-14",1,2023-07-28,-12,"Ca_ppm","BDL"
"144","12-14",1,2023-07-28,-12,"Fe_ppm","BDL"
"145","12-14",1,2023-07-28,-12,"V_ppm","BDL"
"146","12-14",1,2023-07-28,-12,"Cr_ppm","BDL"
"147","12-14",1,2023-07-28,-12,"Mn_ppm","BDL"
"148","12-14",1,2023-07-28,-12,"Co_ppm","BDL"
"149","12-14",1,2023-07-28,-12,"Ni_ppm","BDL"
"150","12-14",1,2023-07-28,-12,"Cu_ppm","BDL"
"151","12-14",1,2023-07-28,-12,"Zn_ppm","BDL"
"152","12-14",1,2023-07-28,-12,"Rb_ppm","BDL"
"153","12-14",1,2023-07-28,-12,"Sr_ppm","BDL"
"154","12-14",1,2023-07-28,-12,"P_ppm","BDL"
"155","12-14",1,2023-07-28,-12,"S_ppm","BDL"
"156","12-14",1,2023-07-28,-12,"As_ppm","BDL"
"157","12-14",1,2023-07-28,-12,"Se_ppm","BDL"
"158","12-14",1,2023-07-28,-12,"Mo_ppm","BDL"
"159","12-14",1,2023-07-28,-12,"Cd_ppm","BDL"
"160","12-14",1,2023-07-28,-12,"Cs_ppm","BDL"
"161","12-14",1,2023-07-28,-12,"Ba_ppm","BDL"
"162","12-14",1,2023-07-28,-12,"Ce_ppm","BDL"
"163","12-14",1,2023-07-28,-12,"Pb_ppm","BDL"
"164","12-14",1,2023-07-28,-12,"Th_ppm","BDL"
"165","12-14",1,2023-07-28,-12,"U_ppm","BDL"
"166","22-26",1,2023-07-28,-22,"Be_ppm",""
"167","22-26",1,2023-07-28,-22,"B_ppm",""
"168","22-26",1,2023-07-28,-22,"Al_ppm",""
"169","22-26",1,2023-07-28,-22,"Li_ppm",""
"170","22-26",1,2023-07-28,-22,"Ga_ppm","BDL"
"171","22-26",1,2023-07-28,-22,"Na_ppm",""
"172","22-26",1,2023-07-28,-22,"Mg_ppm",""
"173","22-26",1,2023-07-28,-22,"K_ppm",""
"174","22-26",1,2023-07-28,-22,"Ti_ppm","BDL"
"175","22-26",1,2023-07-28,-22,"Si_ppm","BDL"
"176","22-26",1,2023-07-28,-22,"Ca_ppm","BDL"
"177","22-26",1,2023-07-28,-22,"Fe_ppm","BDL"
"178","22-26",1,2023-07-28,-22,"V_ppm","BDL"
"179","22-26",1,2023-07-28,-22,"Cr_ppm","BDL"
"180","22-26",1,2023-07-28,-22,"Mn_ppm","BDL"
"181","22-26",1,2023-07-28,-22,"Co_ppm","BDL"
"182","22-26",1,2023-07-28,-22,"Ni_ppm","BDL"
"183","22-26",1,2023-07-28,-22,"Cu_ppm","BDL"
"184","22-26",1,2023-07-28,-22,"Zn_ppm","BDL"
"185","22-26",1,2023-07-28,-22,"Rb_ppm","BDL"
"186","22-26",1,2023-07-28,-22,"Sr_ppm","BDL"
"187","22-26",1,2023-07-28,-22,"P_ppm","BDL"
"188","22-26",1,2023-07-28,-22,"S_ppm","BDL"
"189","22-26",1,2023-07-28,-22,"As_ppm","BDL"
"190","22-26",1,2023-07-28,-22,"Se_ppm","BDL"
"191","22-26",1,2023-07-28,-22,"Mo_ppm","BDL"
"192","22-26",1,2023-07-28,-22,"Cd_ppm","BDL"
"193","22-26",1,2023-07-28,-22,"Cs_ppm","BDL"
"194","22-26",1,2023-07-28,-22,"Ba_ppm","BDL"
"195","22-26",1,2023-07-28,-22,"Ce_ppm","BDL"
"196","22-26",1,2023-07-28,-22,"Pb_ppm","BDL"
"197","22-26",1,2023-07-28,-22,"Th_ppm","BDL"
"198","22-26",1,2023-07-28,-22,"U_ppm","BDL"
"199","22-26",109,2023-07-28,-22,"Be_ppm",""
"200","22-26",109,2023-07-28,-22,"B_ppm",""
"201","22-26",109,2023-07-28,-22,"Al_ppm",""
"202","22-26",109,2023-07-28,-22,"Li_ppm",""
"203","22-26",109,2023-07-28,-22,"Ga_ppm","BDL"
"204","22-26",109,2023-07-28,-22,"Na_ppm",""
"205","22-26",109,2023-07-28,-22,"Mg_ppm",""
"206","22-26",109,2023-07-28,-22,"K_ppm",""
"207","22-26",109,2023-07-28,-22,"Ti_ppm","BDL"
"208","22-26",109,2023-07-28,-22,"Si_ppm","BDL"
"209","22-26",109,2023-07-28,-22,"Ca_ppm","BDL"
"210","22-26",109,2023-07-28,-22,"Fe_ppm","BDL"
"211","22-26",109,2023-07-28,-22,"V_ppm","BDL"
"212","22-26",109,2023-07-28,-22,"Cr_ppm","BDL"
"213","22-26",109,2023-07-28,-22,"Mn_ppm","BDL"
"214","22-26",109,2023-07-28,-22,"Co_ppm","BDL"
"215","22-26",109,2023-07-28,-22,"Ni_ppm","BDL"
"216","22-26",109,2023-07-28,-22,"Cu_ppm","BDL"
"217","22-26",109,2023-07-28,-22,"Zn_ppm","BDL"
"218","22-26",109,2023-07-28,-22,"Rb_ppm","BDL"
"219","22-26",109,2023-07-28,-22,"Sr_ppm","BDL"
"220","22-26",109,2023-07-28,-22,"P_ppm","BDL"
"221","22-26",109,2023-07-28,-22,"S_ppm","BDL"
"222","22-26",109,2023-07-28,-22,"As_ppm","BDL"
"223","22-26",109,2023-07-28,-22,"Se_ppm","BDL"
"224","22-26",109,2023-07-28,-22,"Mo_ppm","BDL"
"225","22-26",109,2023-07-28,-22,"Cd_ppm","BDL"
"226","22-26",109,2023-07-28,-22,"Cs_ppm","BDL"
"227","22-26",109,2023-07-28,-22,"Ba_ppm","BDL"
"228","22-26",109,2023-07-28,-22,"Ce_ppm","BDL"
"229","22-26",109,2023-07-28,-22,"Pb_ppm","BDL"
"230","22-26",109,2023-07-28,-22,"Th_ppm","BDL"
"231","22-26",109,2023-07-28,-22,"U_ppm","BDL"
"232","12-14",125,2023-07-28,-12,"Be_ppm",""
"233","12-14",125,2023-07-28,-12,"B_ppm",""
"234","12-14",125,2023-07-28,-12,"Al_ppm",""
"235","12-14",125,2023-07-28,-12,"Li_ppm",""
"236","12-14",125,2023-07-28,-12,"Ga_ppm","BDL"
"237","12-14",125,2023-07-28,-12,"Na_ppm",""
"238","12-14",125,2023-07-28,-12,"Mg_ppm",""
"239","12-14",125,2023-07-28,-12,"K_ppm",""
"240","12-14",125,2023-07-28,-12,"Ti_ppm","BDL"
"241","12-14",125,2023-07-28,-12,"Si_ppm","BDL"
"242","12-14",125,2023-07-28,-12,"Ca_ppm","BDL"
"243","12-14",125,2023-07-28,-12,"Fe_ppm","BDL"
"244","12-14",125,2023-07-28,-12,"V_ppm","BDL"
"245","12-14",125,2023-07-28,-12,"Cr_ppm","BDL"
"246","12-14",125,2023-07-28,-12,"Mn_ppm","BDL"
"247","12-14",125,2023-07-28,-12,"Co_ppm","BDL"
"248","12-14",125,2023-07-28,-12,"Ni_ppm","BDL"
"249","12-14",125,2023-07-28,-12,"Cu_ppm","BDL"
"250","12-14",125,2023-07-28,-12,"Zn_ppm","BDL"
"251","12-14",125,2023-07-28,-12,"Rb_ppm","BDL"
"252","12-14",125,2023-07-28,-12,"Sr_ppm","BDL"
"253","12-14",125,2023-07-28,-12,"P_ppm","BDL"
