Hydrolab Data for April - October 1999,,,,,,,,,,,,,
,,,,,,,,,,,,,
Pond #,Date,Time,Temp,pH,SpCond,Salin,DO,Redox,Depth,Marker1,Marker2,Marker3,NewMark
,MMDDYY,HHMMSS,degC,units,mS/cm,ppt,mg/l,mV,m,cm,cm,cm,cm
,101399,150153,4.69,8.39,3.71,2.0,14.24,306,0.0,,,,
,101399,150239,4.71,8.24,5.84,3.2,13.69,279,0.2,,,,
66,,,,,,,,,,,,,
,42099,110503,8.83,8.66,6.88,3.8,13.41,367,0.0,,,,
,42099,110408,8.83,8.65,7.01,3.9,12.64,364,0.1,,,,
,51399,110927,8.91,8.64,28.6,9.1,11.14,161,0.0,dry,128 cm,dry,
,51399,111000,8.92,8.64,28.6,9.2,11.34,168,0.1,,,,
,61799,85225,18.73,8.84,30.4,9.9,8.31,295,0.0,dry,128.9,dry,
,61799,85316,18.8,8.88,30.9,11.2,8.33,314,0.1,,,,
,71399,123918,24.49,10.64,28.0,17.2,9.07,261,0.0,,,,
,71399,124037,24.53,10.65,27.8,17.1,9.16,258,0.2,,,,
,81099,151823,20.7,10.02,10.58,6.0,9.04,246,0.0,,,,
,81099,151923,20.77,10.00,30.6,19.0,10.1,246,0.2,,,,
,91099,114928,13.77,9.90,36.7,23.2,15.98,217,0.0,,,,
,91099,115011,13.79,9.92,37.7,23.9,15.81,205,0.1,,,,
,101399,145622,5.98,9.00,44.2,28.6,14.7,337,0.1,,,,
67,,,,,,,,,,,,,
,42099,105518,8.29,8.08,4.37,2.4,8.61,312,0.1,,,,
,51399,114154,9.96,8.31,5.49,3.0,10.74,99,0.0,dry,125.2,,71.2
,51399,114252,10.02,8.32,5.49,3.0,10.65,126,0.2,,,,
,61799,92545,19.39,9.36,6.1,3.0,11.62,236,0.0,dry (cts),129.6,,74.4
,61799,922708,19.39,9.38,6.13,3.0,11.48,198,0.3,,,,
,71399,125859,23.81,10.68,5.96,3.3,9.39,161,0.0,,,,
,71399,130001,23.85,10.70,6.07,3.4,9.35,149,0.3,,,,
,81199,103819,17.90,9.79,6.74,3.7,9.28,228,0.0,,,,
,81199,103943,17.86,9.82,6.73,3.7,8.99,195,0.3,,,,
,91099,113536,13.64,9.53,7.54,4.2,14.3,245,0.0,,,,
,91099,113628,13.62,9.56,7.46,4.2,14.36,237,0.3,,,,
,101399,144402,6.39,8.71,0.073,0.0,16.2,368,0.0,,,,
,101399,14453,4.23,8.80,8.41,4.7,16.04,347,0.2,,,,
90,,,,,,,,,,,,,
,42099,112551,9.0,8.16,3.51,1.9,10.96,367,0.0,,,,
,42099,112621,9.01,8.15,3.52,1.9,10.73,368,0.3,,,,
,51399,103704,7.64,8.63,4.82,2.6,9.1,294,0.0,,95,dry,
,51399,103806,7.63,8.64,4.82,2.6,6.7,283,0.4,,,,
,61699,131046,22.31,9.07,5.24,2.7,13.16,236,0.0,dry(cts),101,45.8,
,61699,131245,20.35,9.00,5.3,2.7,10.9,144,0.4,,,,
,71399,152135,24.82,10.15,5.13,2.8,10.13,190,0.0,,,,
,71399,152253,24.67,10.16,5.13,2.8,10.00,167,0.5,,,,
,81199,144638,20.55,9.09,5.78,3.2,12.79,402,0.0,,,,
,81199,144803,20.58,9.10,5.76,3.2,12.88,390,0.4,,,,
,91099,123238,14.76,8.77,6.11,3.4,14.13,258,0.0,,,,
,101399,134618,4.04,7.67,7.26,4.0,14.65,436,0.0,,,,
,101399,134728,4.04,7.75,7.27,4.1,13.01,434,0.4,,,,
4857,,,,,,,,,,,,,
,42099,102726,8.73,8.79,0.65,0.3,11.84,437,0.0,80,,,
,42099,102801,8.72,8.78,0.649,0.3,11.61,436,0.1,,,,
,51399,125613,8.43,8.48,0.805,0.4,12.05,258,0.0,,,,
,51399,125719,8.42,8.45,0.807,0.4,12.14,258,0.1,,,,
,61699,114510,21.79,8.83,0.994,0.4,14.89,408,0.0,86,,,
,61699,114752,20.97,8.81,1.006,0.4,14.33,405,0.1,,,,
,71399,135017,25.02,11.10,0.857,0.4,11.43,236,0.0,,,,
,71399,135157,23.62,11.11,0.893,0.5,13.27,231,0.2,,,,
,81199,105225,18.87,10.20,0.94,0.5,15.19,225,0.0,,,,
,81199,105318,17.85,10.18,0.96,0.5,12.95,225,0.1,,,,
,91099,110311,12.31,9.92,1.019,0.5,12.47,253,0.0,,,,
,91099,110407,11.68,9.94,1.02,0.5,12.06,253,0.1,,,,
,101399,143037,6.97,9.40,1.093,0.6,18.84,361,0.0,,,,
5338,,,,,,,,,,,,,
,42099,113644,9.18,8.91,20.01,9.5,14.71,378,0.0,,,,
,42099,113717,9.18,8.94,20,9.71,15,377,0.3,,,,
,51399,105524,7.67,8.72,24.1,9.2,10.86,306,0.0,,,,
,51399,105616,7.62,8.67,24.2,9.3,10.85,305,0.3,,,,
,61699,132512,25.08,8.29,25.3,12.4,4.58,319,0.0,,,,
,61699,132714,24.62,8.29,25.5,12.5,4.36,320,0.3,,,,
,71399,153928,25.36,8.76,25.1,15.2,9.69,255,0.0,,,,
,71399,154029,25.34,8.75,25.4,15.4,9.68,254,0.5,,,,
,81099,150114,21.0,8.6,26.6,16.2,4.56,381,0.0,,,,
,81099,150214,20.84,8.6,26.8,16.4,4.58,381,0.5,,,,
,91099,121827,14.15,8.94,28.8,17.7,11.2,175,0.0,,,,
,91099,121915,14.13,8.95,28.6,17.6,11.02,171,0.5,,,,
,101399,135840,4.43,8.11,30.0,18.6,16.2,438,0.0,,,,
,101399,135851,4.45,8.19,30.2,18.7,16.21,437,0.5,,,,
