"Hydrolab Data for 1996 Used for Plotting Temperature, Dissolved Oxygen, and Specific",,,,,,
Conductivity (these values are averages through the water column and are calculated,,,,,,
from the Whole Year worksheet).,,,,,,
,,,,,,
Pond,Date,Days (Julian),Temperature,Dissolved,Specific,pH
number, sampled,,(°C), Oxygen, Conductivity,(pH Units)
,,, ,(mg/L),(mS/cm), 
,,,,,,
1A,1996-05-09,130,5.9,11.49,0.97,8.08
1A,1996-06-10,162,22.3,7.66,1.14,8.05
1A,1996-07-09,191,21.1,12.64,1.53,8.32
1A,1996-08-13,226,19.8,7.95,1.16,7.98
1A,1996-09-18,262,14.0,12.10,1.64,8.54
1A,1996-10-15,289,9.6,12.22,1.74,8.32
,,,,,,
1B,1996-05-09,130,7.3,11.40,0.96,8.12
1B,1996-06-10,162,22.4,8.68,1.13,8.16
1B,1996-07-09,191,21.7,12.79,1.53,8.39
1B,1996-08-13,226,20.1,5.92,1.27,7.96
1B,1996-09-18,262,13.9,10.27,1.67,8.47
1B,1996-10-15,289,8.7,8.78,1.77,8.02
,,,,,,
25A,1996-08-13,226,20.2,3.97,1.41,7.85
,,,,,,
25,1996-05-08,129,5.3,11.26,0.65,7.86
25,1996-06-10,162,23.5,3.24,0.89,7.77
25,1996-07-09,191,22.0,3.66,1.18,7.77
25,1996-08-13,226,19.9,2.54,3.49,7.77
25,1996-09-18,262,13.9,7.43,1.51,8.13
25,1996-10-15,289,8.6,8.49,1.63,8.11
,,,,,,
37,1996-05-09,130,8.1,7.95,0.15,7.57
37,1996-06-10,162,23.2,3.38,0.18,7.62
37,1996-07-09,191,21.2,1.99,0.25,7.50
37,1996-08-13,226,20.9,4.49,0.36,7.65
37,1996-09-18,262,14.5,9.32,0.39,7.77
37,1996-10-15,289,9.4,7.21,0.43,7.81
,,,,,,
50,1996-05-09,130,9.0,12.03,1.03,7.70
50,1996-06-10,162,25.1,6.91,2.03,7.98
50,1996-07-09,191,24.8,7.59,2.85,7.85
50,1996-08-13,226,21.2,9.73,3.72,8.14
50,1996-09-18,262,14.7,8.53,4.35,8.10
50,1996-10-15,289,9.2,7.59,4.98,8.25
,,,,,,
60,1996-05-09,130,9.0,7.76,0.16,7.74
60,1996-06-11,163,17.9,1.52,0.21,7.11
60,1996-07-09,191,19.4,5.01,0.24,7.43
60,1996-08-13,226,20.9,3.88,0.30,7.20
,,,,,,
65,1996-05-08,129,4.6,13.77,1.27,8.30
65,1996-06-11,163,21.0,7.50,1.78,8.44
65,1996-07-10,192,18.9,2.42,2.28,8.22
65,1996-08-14,227,19.3,6.40,1.82,8.16
65,1996-09-19,263,13.3,5.73,2.89,8.09
65,1996-10-15,289,8.9,11.01,3.03,8.37
,,,,,,
66,1996-05-08,129,5.2,12.27,14.73,9.12
66,1996-06-11,163,20.9,6.56,15.10,8.78
66,1996-07-10,192,18.2,9.93,15.70,9.76
66,1996-08-14,227,18.4,6.29,19.05,10.04
66,1996-09-19,263,13.1,6.04,21.05,8.70
66,1996-10-15,289,9.7,9.54,22.75,8.47
,,,,,,
67,1996-05-08,129,5.6,13.56,2.33,8.17
67,1996-06-11,163,21.4,2.74,3.01,7.79
67,1996-07-10,192,19.0,4.76,3.48,7.97
67,1996-08-14,227,19.3,3.66,4.05,8.08
