"Hydrolab Data for 1996 Used for Plotting Temperature, Dissolved Oxygen, and Specific",,,,,,
Conductivity (these values are averages through the water column and are calculated,,,,,,
from the Whole Year worksheet).,,,,,,
,,,,,,
Pond,Date,Days (Julian),Temperature,Dissolved,Specific,pH
67,1996-09-19,263,13.1,6.87,4.17,8.58
67,1996-10-15,289,8.7,10.52,4.48,8.62
,,,,,,
86,1996-05-09,130,5.6,10.66,0.25,7.70
86,1996-06-11,163,20.4,3.03,0.33,7.83
86,1996-07-10,192,17.0,1.78,0.38,7.72
86,1996-08-14,227,17.3,4.83,0.44,7.77
86,1996-09-19,263,12.3,2.79,0.44,7.34
86,1996-10-16,290,3.6,4.63,0.51,7.53
,,,,,,
90,1996-05-09,130,5.5,10.10,3.55,8.06
90,1996-06-11,163,21.8,3.26,5.84,7.93
90,1996-07-10,192,18.5,4.32,6.97,8.21
90,1996-08-14,227,19.7,2.79,9.44,8.13
90,1996-09-18,262,15.5,8.75,10.53,8.36
90,1996-10-16,290,3.3,5.42,12.26,7.98
,,,,,,
109,1996-05-09,130,8.1,9.61,0.27,7.39
109,1996-06-11,163,20.6,3.27,0.31,7.60
109,1996-07-10,192,16.2,2.36,0.31,7.02
109,1996-08-14,227,16.4,2.72,0.39,7.39
109,1996-09-18,262,13.8,5.80,0.40,7.82
109,1996-10-16,290,3.2,3.91,0.39,7.35
,,,,,,
4857,1996-05-08,129,4.5,12.49,0.58,8.11
4857,1996-06-10,162,23.1,6.20,0.82,7.86
4857,1996-07-09,191,20.8,4.99,0.93,7.75
4857,1996-08-13,226,19.6,8.01,1.01,8.57
4857,1996-09-18,262,13.6,9.34,1.06,8.50
4857,1996-10-15,289,8.2,9.48,1.11,8.56
,,,,,,
6642,1996-05-09,130,4.1,12.59,0.56,8.23
6642,1996-06-11,163,21.4,6.08,0.75,7.83
6642,1996-07-10,192,17.8,3.26,0.87,7.62
6642,1996-08-14,227,19.2,2.67,1.05,8.08
6642,1996-09-19,263,13.1,2.19,1.16,7.84
6642,1996-10-16,290,4.2,4.56,1.28,7.58
,,,,,,
Gursky's,1996-06-11,163,20.7,7.19,0.71,8.64
Gursky's,1996-07-10,192,19.3,5.14,0.82,8.56
Gursky's,1996-08-13,226,19.9,7.77,0.84,8.71
Gursky's,1996-09-18,262,14.6,6.78,0.84,8.49
Gursky's,1996-10-15,289,9.0,13.04,0.88,8.46
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
